datetime,net_load_after_pv,battery_power
4/16/20 0:00,1296.5,0
4/16/20 0:15,1019.5,0
4/16/20 0:30,1158,0
4/16/20 0:45,1105,0
4/16/20 1:00,824.5,0
4/16/20 1:15,1053.5,0
4/16/20 1:30,779.5,0
4/16/20 1:45,1130.5,0
4/16/20 2:00,984.5,0
4/16/20 2:15,943.5,0
4/16/20 2:30,1176,0
4/16/20 2:45,1080,0
4/16/20 3:00,862.5,0
4/16/20 3:15,908.5,0
4/16/20 3:30,1058,0
4/16/20 3:45,739,0
4/16/20 4:00,1298,0
4/16/20 4:15,993,0
4/16/20 4:30,831.5,0
4/16/20 4:45,1219,0
4/16/20 5:00,909.5,0
4/16/20 5:15,934,0
4/16/20 5:30,1067.5,0
4/16/20 5:45,701.5,0
4/16/20 6:00,851,0
4/16/20 6:15,965,0
4/16/20 6:30,851,0
4/16/20 6:45,1110.5,0
4/16/20 7:00,1359,0
4/16/20 7:15,1582.5,0
4/16/20 7:30,1761,0
4/16/20 7:45,2076,0
4/16/20 8:00,2038,0
4/16/20 8:15,1993.5,0
4/16/20 8:30,1863.5,0
4/16/20 8:45,1851,0
4/16/20 9:00,1790,0
4/16/20 9:15,1722,0
4/16/20 9:30,1460.5,0
4/16/20 9:45,1265,0
4/16/20 10:00,1593,0
4/16/20 10:15,1703,0
4/16/20 10:30,1497,0
4/16/20 10:45,1774.5,0
4/16/20 11:00,1086,0
4/16/20 11:15,920,0
4/16/20 11:30,952,0
4/16/20 11:45,292,0
4/16/20 12:00,406.5,0
4/16/20 12:15,944,0
4/16/20 12:30,1084,0
4/16/20 12:45,1616,0
4/16/20 13:00,1366.5,0
4/16/20 13:15,1072.5,0
4/16/20 13:30,1860,0
4/16/20 13:45,1622.5,0
4/16/20 14:00,1215,0
4/16/20 14:15,1353,0
4/16/20 14:30,2006.5,0
4/16/20 14:45,1712.5,0
4/16/20 15:00,1656.5,0
4/16/20 15:15,1435.5,0
4/16/20 15:30,1355,0
4/16/20 15:45,1132,0
4/16/20 16:00,1473,0
4/16/20 16:15,1755,0
4/16/20 16:30,1647,0
4/16/20 16:45,1666,0
4/16/20 17:00,2028,0
4/16/20 17:15,1515,0
4/16/20 17:30,1430,0
4/16/20 17:45,1961,0
4/16/20 18:00,1895.5,0
4/16/20 18:15,1731,0
4/16/20 18:30,1770.5,0
4/16/20 18:45,1718,0
4/16/20 19:00,1500.5,0
4/16/20 19:15,1584,0
4/16/20 19:30,1655,0
4/16/20 19:45,1337,0
4/16/20 20:00,1087,0
4/16/20 20:15,1353,0
4/16/20 20:30,1119,0
4/16/20 20:45,1013.5,0
4/16/20 21:00,929,0
4/16/20 21:15,1134.5,0
4/16/20 21:30,1165.5,0
4/16/20 21:45,1082,0
4/16/20 22:00,1074,0
4/16/20 22:15,817.5,0
4/16/20 22:30,962,0
4/16/20 22:45,793.5,0
4/16/20 23:00,925.5,0
4/16/20 23:15,687.5,0
4/16/20 23:30,903,0
4/16/20 23:45,931,0
