datetime,net_load_before_pv,pv,net_load_after_pv
7/15/21 0:00,87,,
7/15/21 1:00,96,,
7/15/21 2:00,80,,
7/15/21 3:00,109,,
7/15/21 4:00,81,,
7/15/21 5:00,94,,
7/15/21 6:00,118,,
7/15/21 7:00,82,,
7/15/21 8:00,115,,
7/15/21 9:00,175,,
7/15/21 10:00,163,,
7/15/21 11:00,151,,
7/15/21 12:00,160,,
7/15/21 13:00,157,,
7/15/21 14:00,139,,
7/15/21 15:00,139,,
7/15/21 16:00,89,,
7/15/21 17:00,100,,
7/15/21 18:00,103,,
7/15/21 19:00,87,,
7/15/21 20:00,96,,
7/15/21 21:00,68,,
7/15/21 22:00,86,,
7/15/21 23:00,57,,
7/16/21 0:00,73,,
7/16/21 1:00,54,,
7/16/21 2:00,41,,
7/16/21 3:00,67,,
7/16/21 4:00,46,,
7/16/21 5:00,103,,
7/16/21 6:00,67,,
7/16/21 7:00,79,,
7/16/21 8:00,88,,
7/16/21 9:00,126,,
7/16/21 10:00,131,,
7/16/21 11:00,163,,
7/16/21 12:00,160,,
7/16/21 13:00,187,,
7/16/21 14:00,212,,
7/16/21 15:00,201,,
7/16/21 16:00,211,,
7/16/21 17:00,201,,
7/16/21 18:00,192,,
7/16/21 19:00,105,,
7/16/21 20:00,210,,
7/16/21 21:00,161,,
7/16/21 22:00,130,,
7/16/21 23:00,126,,
7/17/21 0:00,183,,
7/17/21 1:00,78,,
7/17/21 2:00,84,,
7/17/21 3:00,113,,
7/17/21 4:00,80,,
7/17/21 5:00,64,,
7/17/21 6:00,145,,
7/17/21 7:00,77,,
7/17/21 8:00,126,,
7/17/21 9:00,283,,
7/17/21 10:00,241,,
7/17/21 11:00,225,,
7/17/21 12:00,160,,
7/17/21 13:00,174,,
7/17/21 14:00,215,,
7/17/21 15:00,223,,
7/17/21 16:00,176,,
7/17/21 17:00,290,,
7/17/21 18:00,147,,
7/17/21 19:00,157,,
7/17/21 20:00,106,,
7/17/21 21:00,126,,
7/17/21 22:00,67,,
7/17/21 23:00,65,,
7/18/21 0:00,85,,
7/18/21 1:00,49,,
7/18/21 2:00,51,,
7/18/21 3:00,58,,
7/18/21 4:00,51,,
7/18/21 5:00,43,,
7/18/21 6:00,42,,
7/18/21 7:00,63,,
7/18/21 8:00,61,,
7/18/21 9:00,154,,
7/18/21 10:00,166,,
7/18/21 11:00,153,,
7/18/21 12:00,180,,
