datetime,date,pv,pv_normalized,pv_130kW,pv_20kW,pv_50kW
3/26/21 00:00,3/26/21,0,0,0,0,0
3/26/21 00:02,3/26/21,0,0,0,0,0
3/26/21 00:03,3/26/21,0,0,0,0,0
3/26/21 00:05,3/26/21,0,0,0,0,0
3/26/21 00:07,3/26/21,0,0,0,0,0
3/26/21 00:09,3/26/21,0,0,0,0,0
3/26/21 00:11,3/26/21,0,0,0,0,0
3/26/21 00:13,3/26/21,0,0,0,0,0
3/26/21 00:15,3/26/21,0,0,0,0,0
3/26/21 00:17,3/26/21,0,0,0,0,0
3/26/21 00:19,3/26/21,0,0,0,0,0
3/26/21 00:20,3/26/21,0,0,0,0,0
3/26/21 00:22,3/26/21,0,0,0,0,0
3/26/21 00:24,3/26/21,0,0,0,0,0
3/26/21 00:26,3/26/21,0,0,0,0,0
3/26/21 00:28,3/26/21,0,0,0,0,0
3/26/21 00:30,3/26/21,0,0,0,0,0
3/26/21 00:32,3/26/21,0,0,0,0,0
3/26/21 00:34,3/26/21,0,0,0,0,0
3/26/21 00:36,3/26/21,0,0,0,0,0
3/26/21 00:37,3/26/21,0,0,0,0,0
3/26/21 00:39,3/26/21,0,0,0,0,0
3/26/21 00:41,3/26/21,0,0,0,0,0
3/26/21 00:43,3/26/21,0,0,0,0,0
3/26/21 00:45,3/26/21,0,0,0,0,0
3/26/21 00:47,3/26/21,0,0,0,0,0
3/26/21 00:49,3/26/21,0,0,0,0,0
3/26/21 00:51,3/26/21,0,0,0,0,0
3/26/21 00:52,3/26/21,0,0,0,0,0
3/26/21 00:54,3/26/21,0,0,0,0,0
3/26/21 00:56,3/26/21,0,0,0,0,0
3/26/21 00:58,3/26/21,0,0,0,0,0
3/26/21 01:00,3/26/21,0,0,0,0,0
3/26/21 01:02,3/26/21,0,0,0,0,0
3/26/21 01:04,3/26/21,0,0,0,0,0
3/26/21 01:06,3/26/21,0,0,0,0,0
3/26/21 01:08,3/26/21,0,0,0,0,0
3/26/21 01:09,3/26/21,0,0,0,0,0
3/26/21 01:11,3/26/21,0,0,0,0,0
3/26/21 01:13,3/26/21,0,0,0,0,0
3/26/21 01:15,3/26/21,0,0,0,0,0
3/26/21 01:17,3/26/21,0,0,0,0,0
3/26/21 01:19,3/26/21,0,0,0,0,0
3/26/21 01:21,3/26/21,0,0,0,0,0
3/26/21 01:23,3/26/21,0,0,0,0,0
3/26/21 01:25,3/26/21,0,0,0,0,0
3/26/21 01:26,3/26/21,0,0,0,0,0
