datetime,net_load_before_pv,pv,net_load_after_pv
1/24/20 0:00,800,,
1/24/20 1:00,900,,
1/24/20 2:00,900,,
1/24/20 3:00,800,,
1/24/20 4:00,800,,
1/24/20 5:00,900,,
1/24/20 6:00,800,,
1/24/20 7:00,800,,
1/24/20 8:00,1350,,
1/24/20 9:00,1700,,
1/24/20 10:00,1500,,
1/24/20 11:00,1050,,
1/24/20 12:00,800,,
1/24/20 13:00,900,,
1/24/20 14:00,900,,
1/24/20 15:00,1000,,
1/24/20 16:00,900,,
1/24/20 17:00,900,,
1/24/20 18:00,900,,
1/24/20 19:00,900,,
1/24/20 20:00,1000,,
1/24/20 21:00,1000,,
1/24/20 22:00,900,,
1/24/20 23:00,900,,
1/25/20 0:00,6400,,
1/25/20 1:00,8100,,
1/25/20 2:00,8300,,
1/25/20 3:00,8000,,
1/25/20 4:00,8150,,
1/25/20 5:00,6200,,
1/25/20 6:00,5500,,
1/25/20 7:00,2600,,
1/25/20 8:00,1100,,
1/25/20 9:00,3600,,
1/25/20 10:00,3800,,
1/25/20 11:00,3400,,
1/25/20 12:00,1500,,
1/25/20 13:00,3400,,
1/25/20 14:00,3200,,
1/25/20 15:00,3600,,
1/25/20 16:00,4000,,
1/25/20 17:00,3450,,
1/25/20 18:00,3200,,
1/25/20 19:00,2600,,
1/25/20 20:00,3000,,
1/25/20 21:00,2300,,
1/25/20 22:00,3000,,
1/25/20 23:00,3000,,
1/26/20 0:00,1800,,
1/26/20 1:00,8100,,
1/26/20 2:00,8000,,
1/26/20 3:00,8000,,
1/26/20 4:00,8000,,
1/26/20 5:00,7700,,
1/26/20 6:00,7800,,
1/26/20 7:00,2100,,
1/26/20 8:00,1650,,
1/26/20 9:00,3100,,
1/26/20 10:00,3600,,
1/26/20 11:00,2700,,
1/26/20 12:00,1400,,
1/26/20 13:00,2900,,
1/26/20 14:00,3200,,
1/26/20 15:00,3200,,
1/26/20 16:00,2550,,
1/26/20 17:00,2700,,
1/26/20 18:00,1400,,
1/26/20 19:00,2200,,
1/26/20 20:00,2400,,
1/26/20 21:00,2300,,
1/26/20 22:00,2200,,
1/26/20 23:00,2200,,
1/27/20 0:00,1000,,
1/27/20 1:00,2500,,
1/27/20 2:00,2900,,
1/27/20 3:00,2900,,
1/27/20 4:00,2800,,
1/27/20 5:00,2600,,
1/27/20 6:00,2600,,
1/27/20 7:00,1750,,
1/27/20 8:00,1250,,
1/27/20 9:00,3400,,
1/27/20 10:00,3400,,
1/27/20 11:00,3050,,
1/27/20 12:00,1650,,
1/27/20 13:00,3400,,
1/27/20 14:00,3400,,
1/27/20 15:00,3100,,
1/27/20 16:00,3200,,
1/27/20 17:00,3000,,
1/27/20 18:00,2000,,
1/27/20 19:00,2000,,
1/27/20 20:00,1200,,
1/27/20 21:00,1100,,
1/27/20 22:00,1600,,
1/27/20 23:00,1600,,
1/28/20 0:00,1550,,
1/28/20 1:00,2800,,
1/28/20 2:00,3000,,
1/28/20 3:00,3000,,
1/28/20 4:00,2850,,
1/28/20 5:00,2900,,
1/28/20 6:00,3000,,
1/28/20 7:00,2300,,
1/28/20 8:00,1800,,
1/28/20 9:00,2600,,
1/28/20 10:00,2800,,
1/28/20 11:00,2850,,
1/28/20 12:00,2650,,
1/28/20 13:00,3200,,
1/28/20 14:00,2600,,
1/28/20 15:00,3500,,
1/28/20 16:00,2600,,
1/28/20 17:00,3150,,
1/28/20 18:00,1950,,
1/28/20 19:00,1750,,
1/28/20 20:00,1350,,
1/28/20 21:00,1350,,
1/28/20 22:00,1450,,
1/28/20 23:00,1350,,
1/29/20 0:00,1500,,
1/29/20 1:00,8000,,
1/29/20 2:00,7900,,
1/29/20 3:00,7800,,
1/29/20 4:00,7800,,
1/29/20 5:00,7900,,
1/29/20 6:00,5300,,
1/29/20 7:00,4100,,
1/29/20 8:00,1600,,
1/29/20 9:00,2000,,
1/29/20 10:00,3200,,
1/29/20 11:00,3250,,
