datetime,net_load_before_pv,pv,net_load_after_pv
4/28/21 0:00,736.6,,
4/28/21 1:00,827.8,,
4/28/21 2:00,753,,
4/28/21 3:00,817,,
4/28/21 4:00,671.6,,
4/28/21 5:00,810.6,,
4/28/21 6:00,703.4,,
4/28/21 7:00,744.8,,
4/28/21 8:00,624.6,,
4/28/21 9:00,913.4,,
4/28/21 10:00,982,,
4/28/21 11:00,824.8,,
4/28/21 12:00,910.8,,
4/28/21 13:00,1008.4,,
4/28/21 14:00,862.2,,
4/28/21 15:00,831.4,,
4/28/21 16:00,942.2,,
4/28/21 17:00,753.6,,
4/28/21 18:00,927,,
4/28/21 19:00,761.8,,
4/28/21 20:00,676,,
4/28/21 21:00,875,,
4/28/21 22:00,694.8,,
4/28/21 23:00,765.6,,
4/29/21 0:00,668,,
4/29/21 1:00,637.2,,
4/29/21 2:00,736.6,,
4/29/21 3:00,535.2,,
4/29/21 4:00,451.8,,
4/29/21 5:00,670.2,,
4/29/21 6:00,542.4,,
4/29/21 7:00,817.4,,
4/29/21 8:00,850.2,,
4/29/21 9:00,1040.8,,
4/29/21 10:00,1253.6,,
4/29/21 11:00,1371.2,,
4/29/21 12:00,1029.8,,
4/29/21 13:00,1179,,
4/29/21 14:00,1234.6,,
4/29/21 15:00,1113.4,,
4/29/21 16:00,1034,,
4/29/21 17:00,1207.8,,
4/29/21 18:00,957.2,,
4/29/21 19:00,951.4,,
4/29/21 20:00,1108.2,,
4/29/21 21:00,1156.2,,
4/29/21 22:00,1086,,
4/29/21 23:00,1158,,
4/30/21 0:00,1189.4,,
4/30/21 1:00,952.4,,
4/30/21 2:00,1258.4,,
4/30/21 3:00,817.2,,
4/30/21 4:00,896.8,,
4/30/21 5:00,958,,
4/30/21 6:00,964.2,,
4/30/21 7:00,913.2,,
4/30/21 8:00,753.2,,
4/30/21 9:00,1118.4,,
4/30/21 10:00,1404.4,,
4/30/21 11:00,1120.6,,
4/30/21 12:00,1010.8,,
4/30/21 13:00,1032,,
4/30/21 14:00,731,,
4/30/21 15:00,660.4,,
4/30/21 16:00,865.8,,
4/30/21 17:00,631.4,,
4/30/21 18:00,796,,
4/30/21 19:00,1073.4,,
4/30/21 20:00,1120,,
4/30/21 21:00,981.8,,
4/30/21 22:00,1102,,
4/30/21 23:00,949.4,,
5/1/21 0:00,697.2,,
5/1/21 1:00,857.4,,
5/1/21 2:00,1067.4,,
5/1/21 3:00,644.8,,
5/1/21 4:00,624.4,,
5/1/21 5:00,921.6,,
5/1/21 6:00,1070.2,,
5/1/21 7:00,1005.6,,
5/1/21 8:00,1198.8,,
5/1/21 9:00,882,,
5/1/21 10:00,898.2,,
5/1/21 11:00,1089.6,,
5/1/21 12:00,643.8,,
5/1/21 13:00,537.4,,
5/1/21 14:00,910.4,,
5/1/21 15:00,588.6,,
5/1/21 16:00,608,,
5/1/21 17:00,1004.4,,
5/1/21 18:00,489.8,,
5/1/21 19:00,548.8,,
5/1/21 20:00,822,,
5/1/21 21:00,474.2,,
5/1/21 22:00,491,,
5/1/21 23:00,1171.2,,
5/2/21 0:00,770.6,,
5/2/21 1:00,1189.6,,
5/2/21 2:00,1242.6,,
5/2/21 3:00,1261.6,,
5/2/21 4:00,1149.6,,
5/2/21 5:00,889.6,,
5/2/21 6:00,1249,,
5/2/21 7:00,679.2,,
5/2/21 8:00,687.2,,
5/2/21 9:00,850.6,,
5/2/21 10:00,1007.8,,
5/2/21 11:00,612.4,,
5/2/21 12:00,683.6,,
5/2/21 13:00,491,,
5/2/21 14:00,453,,
5/2/21 15:00,379.8,,
5/2/21 16:00,813.8,,
5/2/21 17:00,378,,
5/2/21 18:00,540,,
5/2/21 19:00,916.4,,
5/2/21 20:00,882,,
5/2/21 21:00,917.6,,
5/2/21 22:00,743.8,,
5/2/21 23:00,1202.4,,
7/4/21 0:00,558.2,,
7/4/21 1:00,762.6,,
7/4/21 2:00,707,,
7/4/21 3:00,737,,
7/4/21 4:00,705.6,,
7/4/21 5:00,757.2,,
7/4/21 6:00,865.2,,
7/4/21 7:00,643,,
7/4/21 8:00,873,,
7/4/21 9:00,1058.6,,
7/4/21 10:00,1125,,
7/4/21 11:00,840.6,,
7/4/21 12:00,876,,
7/4/21 13:00,1065.2,,
7/4/21 14:00,1611,,
7/4/21 15:00,1354.8,,
7/4/21 16:00,1201.2,,
7/4/21 17:00,1288.2,,
7/4/21 18:00,1072,,
7/4/21 19:00,1419.2,,
7/4/21 20:00,1293.4,,
7/4/21 21:00,1297.4,,
7/4/21 22:00,1182.8,,
7/4/21 23:00,1080.2,,
7/5/21 0:00,965.8,,
7/5/21 1:00,857.8,,
7/5/21 2:00,731.8,,
7/5/21 3:00,686,,
7/5/21 4:00,466,,
7/5/21 5:00,644,,
7/5/21 6:00,954.8,,
7/5/21 7:00,747.6,,
7/5/21 8:00,736.2,,
7/5/21 9:00,1072,,
7/5/21 10:00,964,,
7/5/21 11:00,979,,
7/5/21 12:00,1246,,
7/5/21 13:00,961,,
7/5/21 14:00,1160,,
7/5/21 15:00,857,,
7/5/21 16:00,1144,,
7/5/21 17:00,1276,,
7/5/21 18:00,997,,
7/5/21 19:00,1267,,
7/5/21 20:00,1370,,
7/5/21 21:00,1232,,
7/5/21 22:00,965,,
7/5/21 23:00,1053,,
7/6/21 0:00,835.2,,
7/6/21 1:00,888.8,,
7/6/21 2:00,890.2,,
7/6/21 3:00,1060.2,,
7/6/21 4:00,987.8,,
7/6/21 5:00,816,,
7/6/21 6:00,960,,
7/6/21 7:00,966,,
7/6/21 8:00,972.8,,
7/6/21 9:00,1211.8,,
7/6/21 10:00,1158,,
7/6/21 11:00,1255,,
7/6/21 12:00,970,,
7/6/21 13:00,1204,,
7/6/21 14:00,1191,,
7/6/21 15:00,1022,,
7/6/21 16:00,1143,,
7/6/21 17:00,1208,,
7/6/21 18:00,1018,,
7/6/21 19:00,1333,,
7/6/21 20:00,1063,,
7/6/21 21:00,1239,,
7/6/21 22:00,1189,,
7/6/21 23:00,1044,,
7/20/21 0:00,1018,,
7/20/21 1:00,825,,
7/20/21 2:00,894,,
7/20/21 3:00,1247,,
7/20/21 4:00,1148,,
7/20/21 5:00,1198,,
7/20/21 6:00,1250,,
7/20/21 7:00,1155,,
7/20/21 8:00,1116,,
7/20/21 9:00,1225,,
7/20/21 10:00,1451,,
7/20/21 11:00,1449,,
7/20/21 12:00,1088,,
7/20/21 13:00,1253,,
7/20/21 14:00,1393,,
7/20/21 15:00,1029,,
7/20/21 16:00,1022,,
7/20/21 17:00,1114,,
7/20/21 18:00,984,,
7/20/21 19:00,1141,,
7/20/21 20:00,1154,,
7/20/21 21:00,1005,,
7/20/21 22:00,1192,,
7/20/21 23:00,1158,,
7/21/21 0:00,814,,
7/21/21 1:00,878,,
7/21/21 2:00,965,,
7/21/21 3:00,965,,
7/21/21 4:00,538,,
7/21/21 5:00,764,,
7/21/21 6:00,845,,
7/21/21 7:00,892,,
7/21/21 8:00,930,,
7/21/21 9:00,1164,,
7/21/21 10:00,1264,,
7/21/21 11:00,1353,,
7/21/21 12:00,1106,,
7/21/21 13:00,1301,,
7/21/21 14:00,1373,,
7/21/21 15:00,1449,,
7/21/21 16:00,1388,,
7/21/21 17:00,1499,,
7/21/21 18:00,1210,,
7/21/21 19:00,1247,,
7/21/21 20:00,1391,,
7/21/21 21:00,1316,,
7/21/21 22:00,1238,,
7/21/21 23:00,1024,,
7/22/21 0:00,701,,
7/22/21 1:00,730,,
7/22/21 2:00,732,,
7/22/21 3:00,655,,
7/22/21 4:00,685,,
7/22/21 5:00,781,,
7/22/21 6:00,869,,
7/22/21 7:00,977,,
7/22/21 8:00,954,,
7/22/21 9:00,1328,,
7/22/21 10:00,1152,,
7/22/21 11:00,1342,,
7/22/21 12:00,1010,,
7/22/21 13:00,1328,,
7/22/21 14:00,1337,,
7/22/21 15:00,1185,,
7/22/21 16:00,1564,,
7/22/21 17:00,1252,,
7/22/21 18:00,1159,,
7/22/21 19:00,1190,,
7/22/21 20:00,1302,,
7/22/21 21:00,1040,,
7/22/21 22:00,920,,
7/22/21 23:00,1060,,
7/23/21 0:00,779,,
7/23/21 1:00,772,,
7/23/21 2:00,956,,
7/23/21 3:00,934,,
7/23/21 4:00,917,,
7/23/21 5:00,671,,
7/23/21 6:00,727,,
7/23/21 7:00,799,,
7/23/21 8:00,803,,
7/23/21 9:00,1162,,
7/23/21 10:00,1238,,
7/23/21 11:00,1300,,
7/23/21 12:00,1059,,
7/23/21 13:00,1623,,
7/23/21 14:00,1315,,
7/23/21 15:00,1137,,
7/23/21 16:00,978,,
7/23/21 17:00,1038,,
7/23/21 18:00,801,,
7/23/21 19:00,765,,
7/23/21 20:00,926,,
7/23/21 21:00,1129,,
7/23/21 22:00,1077,,
7/23/21 23:00,889,,
