datetime,net_load_after_pv,battery_power,capacity
4/1/19 0:00,75.5,0,1315
4/1/19 0:15,73.1,0,1315
4/1/19 0:30,64.4,0,1315
4/1/19 0:45,136,0,1315
4/1/19 1:00,77.7,0,1315
4/1/19 1:15,60.9,0,1315
4/1/19 1:30,63.5,0,1315
4/1/19 1:45,61.4,0,1315
4/1/19 2:00,60.1,0,1315
4/1/19 2:15,66.9,0,1315
4/1/19 2:30,60.8,0,1315
4/1/19 2:45,71.2,0,1315
4/1/19 3:00,70.3,0,1315
4/1/19 3:15,57.2,0,1315
4/1/19 3:30,65.7,0,1315
4/1/19 3:45,51.1,0,1315
4/1/19 4:00,61.7,0,1315
4/1/19 4:15,70.3,0,1315
4/1/19 4:30,67.9,0,1315
4/1/19 4:45,135,0,1315
4/1/19 5:00,179,0,1315
4/1/19 5:15,160,0,1315
4/1/19 5:30,208,0,1315
4/1/19 5:45,218,0,1315
4/1/19 6:00,267,0,1315
4/1/19 6:15,263,0,1315
4/1/19 6:30,193,0,1315
4/1/19 6:45,113,0,1315
4/1/19 7:00,82.8,0,1315
4/1/19 7:15,40.4,0,1315
4/1/19 7:30,30.6,0,1315
4/1/19 7:45,113,0,1315
4/1/19 8:00,101,0,1315
4/1/19 8:15,207,0,1315
4/1/19 8:30,172,0,1315
4/1/19 8:45,177,0,1315
4/1/19 9:00,126,0,1315
4/1/19 9:15,71.3,0,1315
4/1/19 9:30,24.9,0,1315
4/1/19 9:45,27.2,0,1315
4/1/19 10:00,93.1,0,1315
4/1/19 10:15,27.5,0,1315
4/1/19 10:30,49.2,0,1315
4/1/19 10:45,86,0,1315
4/1/19 11:00,92.1,0,1315
4/1/19 11:15,127,0,1315
4/1/19 11:30,257,0,1315
4/1/19 11:45,175,0,1315
4/1/19 12:00,135,0,1315
4/1/19 12:15,87.3,0,1315
4/1/19 12:30,64,0,1315
4/1/19 12:45,56.8,0,1315
4/1/19 13:00,110,0,1315
4/1/19 13:15,58,0,1315
4/1/19 13:30,84.9,0,1315
4/1/19 13:45,26.4,0,1315
4/1/19 14:00,83.2,0,1315
4/1/19 14:15,33.4,0,1315
4/1/19 14:30,47.5,0,1315
4/1/19 14:45,86.3,0,1315
4/1/19 15:00,26.2,0,1315
4/1/19 15:15,79.1,0,1315
4/1/19 15:30,95.4,0,1315
4/1/19 15:45,120,0,1315
4/1/19 16:00,186,0,1315
4/1/19 16:15,141,0,1315
4/1/19 16:30,201,0,1315
4/1/19 16:45,268,0,1315
4/1/19 17:00,198,0,1315
4/1/19 17:15,259,0,1315
4/1/19 17:30,291,0,1315
4/1/19 17:45,298,0,1315
4/1/19 18:00,355,0,1315
4/1/19 18:15,352,0,1315
4/1/19 18:30,381,0,1315
4/1/19 18:45,337,0,1315
4/1/19 19:00,341,0,1315
4/1/19 19:15,332,0,1315
4/1/19 19:30,340,0,1315
4/1/19 19:45,316,0,1315
4/1/19 20:00,204,0,1315
4/1/19 20:15,225,0,1315
4/1/19 20:30,166,0,1315
4/1/19 20:45,181,0,1315
4/1/19 21:00,180,0,1315
4/1/19 21:15,181,0,1315
4/1/19 21:30,196,0,1315
4/1/19 21:45,187,0,1315
4/1/19 22:00,176,0,1315
4/1/19 22:15,179,0,1315
4/1/19 22:30,234,0,1315
4/1/19 22:45,192,0,1315
4/1/19 23:00,182,0,1315
4/1/19 23:15,183,0,1315
4/1/19 23:30,177,0,1315
4/1/19 23:45,175,0,1315
4/2/19 0:00,185,0,1315
4/2/19 0:15,164,0,1315
4/2/19 0:30,167,0,1315
4/2/19 0:45,179,0,1315
4/2/19 1:00,166,0,1315
4/2/19 1:15,169,0,1315
4/2/19 1:30,166,0,1315
4/2/19 1:45,211,0,1315
4/2/19 2:00,184,0,1315
4/2/19 2:15,179,0,1315
4/2/19 2:30,182,0,1315
4/2/19 2:45,188,0,1315
4/2/19 3:00,176,0,1315
4/2/19 3:15,173,0,1315
4/2/19 3:30,179,0,1315
4/2/19 3:45,170,0,1315
4/2/19 4:00,164,0,1315
4/2/19 4:15,161,0,1315
4/2/19 4:30,172,0,1315
4/2/19 4:45,173,0,1315
