date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
2021-01-15,True,True,0.41,340,500,125,2cd,1,695.9173955,-236.4750023,567.05001803,687.8500010300003,-6269.033928466555,-5368.844355061084,-4887.409485652393,900.1895734054715,27005.68720216415,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-16,True,True,0.41,340,500,125,2cd,1,697.1000075000002,-240.9739128,588.2750090000002,713.2750090000002,-5958.574208792204,-5171.754035683188,-4690.3191662744985,786.8201731090159,23604.605193270472,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-17,True,True,0.41,340,500,125,2cd,1,512.8478299999998,-224.4375044,389.4666747,514.4666747,-3535.4844427107832,-2498.864229051766,-2189.781666334116,1036.6202136590168,31098.606409770502,309.0825627176501,9272.4768815295,-30000,-30000,-30000,0,0,0.06650574900017593,0.0,-1.613260906999988
2021-01-18,True,True,0.41,340,500,125,2cd,1,668.7427478999998,-234.0695707,527.1750179999998,649.2166896800002,-5947.101297161308,-4820.1265093897555,-4338.691639981063,1126.9747877715545,33809.24363314663,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
2021-01-19,True,True,0.41,340,500,125,2cd,1,555.8565236000002,-223.0565219,474.6956509,561.6130434300039,-5635.797514174286,-4580.369464933812,-4098.934595525122,1055.428049240474,31662.841477214224,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-20,True,True,0.41,340,500,125,2cd,1,610.208325,-225.4999987,531.50001042,655.7000104200041,-5300.569197634028,-4250.2697304813455,-3768.834861072655,1050.2994671526822,31508.984014580463,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-21,True,True,0.41,340,500,125,2cd,1,606.3217166000002,-85.65833283,598.5374760330001,723.5374760330001,-5635.958815149847,-5402.868024240866,-4921.433154832176,233.09079090898015,6992.723727269405,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-22,True,True,0.41,340,500,125,2cd,1,660.550012,-32.33750054,649.1679909,774.1679909,-5932.485146413829,-5848.318007742169,-5366.883138333478,84.16713867166072,2525.0141601498217,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
2021-01-23,True,True,0.41,340,500,125,2cd,1,645.700008,-99.86087083,619.200012,744.200012,-5859.384240902918,-5629.011206581135,-5147.576337172445,230.37303432178211,6911.191029653464,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-24,True,True,0.41,340,500,125,2cd,1,544.5130369,-211.2999992,441.20435354000006,566.20435354,-4810.614849891393,-4186.595135163749,-3705.1602657550575,624.0197147276431,18720.59144182929,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-25,True,True,0.41,340,500,125,2cd,1,645.3791915,-88.81304548,635.813025787,760.813025787,-5970.3758488132335,-5633.132620351839,-5151.697750943149,337.2432284613951,10117.296853841854,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-26,True,True,0.41,340,500,125,2cd,1,637.9391512999998,-41.78333246,625.4130643399999,750.4130643399999,-6006.006850887699,-5911.6783887828915,-5430.243519374202,94.32846210480692,2829.853863144208,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-27,True,True,0.41,340,500,125,2cd,1,706.7000045,-272.3478209,601.36084555,726.36084555,-6240.858441409809,-5525.844394960199,-5044.4095255515085,715.0140464496089,21450.42139348827,481.4348694086893,14443.046082260682,-30000,-30000,-30000,0,0,0.1412131758464834,0.0,-0.0
2021-01-28,True,True,0.41,340,500,125,2cd,1,500.97083160000005,-249.4130409,414.85833232,539.85833232,-4623.895246005061,-3892.4675303545705,-3411.0326609458803,731.4277156504904,21942.831469514716,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-01-29,True,True,0.41,340,500,125,2cd,1,570.6130463,-264.72499730000004,438.08262016,472.3217323,-4939.032542323468,-3646.9439565066386,-3169.763355064487,1292.088585816829,38762.65757450487,477.1806014421527,14315.41804326458,-30000,-30000,-30000,0,0,0.13946815858492226,0.0,-0.0
2021-01-30,True,True,0.41,340,500,125,2cd,1,562.8478235,-242.3130381,411.97084404,536.97084404,-4389.67683211454,-3240.188691310828,-2764.1426756544456,1149.4881408037127,34484.644224111384,476.0460156563813,14281.380469691441,-30000,-30000,-30000,0,0,0.13900213445067133,0.0,-0.0
2021-01-31,True,True,0.41,340,500,125,2cd,1,451.4874994,-96.71249713,407.51250077,532.51250077,-2896.0590984263085,-2600.890788493788,-2498.726344639499,295.16830993252046,8855.049297975616,102.16444385428896,3064.9333156286684,-30000,-30000,-30000,0,0,-0.06760323919940593,0.0,-0.0
2021-02-01,True,True,0.41,340,500,125,2cd,1,495.3916734,-65.95652174,479.7166734,566.14074256,-3490.3168869370165,-3321.4223206627535,-2841.303368593189,168.8945662742631,5066.836988227892,480.11895206956484,14403.568562086943,-30000,-30000,-30000,0,0,0.14067381422606307,0.0,-0.0
2021-02-02,True,True,0.41,340,500,125,2cd,1,499.69999569999993,-267.9083428,457.2119982800001,553.77499405,-3782.459433823444,-2884.901190677636,-2421.9397146305164,897.5582431458078,26926.74729437424,462.9614760471195,13888.844281413583,-30000,-30000,-30000,0,0,0.1336077402222684,0.0,-0.0
2021-02-03,True,True,0.41,340,500,125,2cd,1,638.695643,-271.8708393,502.11153712,611.3652129100042,-5453.768846159006,-4202.021075611374,-3720.586206202685,1251.7477705476324,37552.43311642896,481.4348694086889,14443.046082260667,-30000,-30000,-30000,0,0,0.1412131758464843,0.0,-0.0
2021-02-04,True,True,0.41,340,500,125,2cd,1,654.0249884,-280.9869505,488.97826082999984,613.97826083,-5118.336745544749,-3798.026959842936,-3316.592090434245,1320.309785701813,39609.2935710544,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-02-05,True,True,0.41,340,500,125,2cd,1,631.0912819,-146.7999997,598.08693307,700.11111115,-5394.358912155425,-5125.158282219259,-4643.723412810568,269.2006299361665,8076.018898084993,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-02-06,True,True,0.41,340,500,125,2cd,1,666.149999,-268.1826027,567.56086804,615.2666727000002,-5096.100743515052,-3874.626987522821,-3393.19211811413,1221.473755992232,36644.212679766955,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-02-07,True,True,0.41,340,500,125,2cd,1,670.5333316000001,-262.1118624,510.71303144999985,629.4583334,-5011.19189619686,-3787.4945502257483,-3306.0596808170585,1223.697345971112,36710.92037913336,481.4348694086898,14443.046082260696,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-02-08,True,True,0.41,340,500,125,2cd,1,613.4695647000002,-280.0869617,480.1260919500001,532.97391283,-4133.229511877333,-3128.685959031366,-2717.012753280619,1004.5435528459666,30136.306585379,411.673205750747,12350.19617252241,-30000,-30000,-30000,0,0,0.11207008491770808,0.0,-0.0
2021-02-09,True,True,0.41,340,500,125,2cd,1,275.2993207,-292.4333368,116.6608681,241.6608681,-1399.34490024391,-276.67622478394117,-264.151008357622,1122.6686754599687,33680.06026379906,12.525216426319218,375.75649278957655,-30000,-30000,-30000,0,0,-0.2402277032758965,1369.1654535447951,-721.8442771288077
2021-02-10,True,True,0.41,340,500,125,2cd,1,83.04999817,-180.2666702,83.04999817,208.04999817,-336.22287896562784,-82.27911639078016,-187.50381632252686,253.94376257484765,7618.312877245428,-105.2246999317467,-3156.7409979524,-30000,-30000,-30000,0,0,,2807.67492625776,-0.0
2021-02-11,True,True,0.41,340,500,125,2cd,1,32.07826117,-86.25652183,13.71304348,136.99565217,-196.66811263554416,-56.180400173449755,-168.05331315388096,140.4877124620944,4214.631373862832,-111.8729129804312,-3356.1873894129358,-30000,-30000,-30000,0,0,,1069.103710509909,-0.5307388819706533
2021-02-12,True,True,0.41,340,500,125,2cd,1,53.26521857,-161.2826074,11.2826087,135.8,-259.8777468506382,-49.56263364712738,-167.37877657742737,210.3151132035108,6309.453396105324,-117.8161429303,-3534.484287909,-30000,-30000,-30000,0,0,,1962.9107602314602,-0.0
2021-02-13,True,True,0.41,340,500,125,2cd,1,103.3333483,-346.3666787,12.2,137.2,-355.55321624846687,-46.22435973247882,-165.48359987749768,309.3288565159881,9279.865695479642,-119.25924014501886,-3577.7772043505656,-30000,-30000,-30000,0,0,,4038.2342192646283,-0.3955970385986257
2021-02-14,True,True,0.41,340,500,125,2cd,1,301.1956518,-298.4874999,171.83478705200005,265.2695605,-2100.517969896232,-1055.6101804789637,-777.2420097223699,1044.9077894172683,31347.233682518057,278.3681707565936,8351.045122697808,-30000,-30000,-30000,0,0,0.051980135012029687,14.167597821,-94.52498110399998
2021-02-15,True,True,0.41,340,500,125,2cd,1,374.2000045,-175.6304296,284.34999855,409.34999855,-2606.6465560892984,-2257.4926225122185,-1861.164450601314,349.15393357707984,10474.618007312398,396.3281719109045,11889.845157327136,-30000,-30000,-30000,0,0,0.10548838098933233,0.0,-0.0
2021-02-16,True,True,0.41,340,500,125,2cd,1,373.2260954,-318.0565173,190.25217791,292.9565217,-2840.5398051012025,-1388.9700834745493,-1019.3065745549196,1451.569721626653,43547.0916487996,369.66350891962975,11089.905267588892,-30000,-30000,-30000,0,0,0.0938762799753714,0.0,-376.585143131
2021-02-17,True,True,0.41,340,500,125,2cd,1,460.6565077,-310.1695754,244.30000303000003,320.124995,-3032.4491882339685,-1604.4623397217429,-1232.7805713606904,1427.9868485122256,42839.60545536677,371.6817683610525,11150.453050831577,-30000,-30000,-30000,0,0,0.09476351776410817,0.0,-301.624820089
2021-02-18,True,True,0.41,340,500,125,2cd,1,483.9624978,-328.800003,244.67082862,327.362503,-3142.8858323521617,-1536.0787838371714,-1125.5180697703436,1606.807048514991,48204.211455449724,410.56071406682764,12316.821422004828,-30000,-30000,-30000,0,0,0.11159523599565913,0.0,-563.2363093189998
2021-02-19,True,True,0.41,340,500,125,2cd,1,499.760867,-314.1250025,291.32608697,361.69999760000013,-3790.7538913066587,-2212.2211246023403,-1715.1607500749892,1578.5327667043189,47355.98300112956,497.06037452735114,14911.811235820533,-30000,-30000,-30000,0,0,0.14759096150012252,0.0,-277.867843106
2021-02-20,True,True,0.41,340,500,125,2cd,1,583.0869539,-307.0956605,388.34782867999985,469.7041564,-4257.018175342426,-2681.3341331882684,-2196.394854278876,1575.6840421541574,47270.52126462472,484.93927890939216,14548.178367281766,-30000,-30000,-30000,0,0,0.14264781016796335,0.0,-118.02451601199995
2021-02-21,True,True,0.41,340,500,125,2cd,1,582.2565254,-311.700012,387.50000000000006,485.88262,-4333.472522225644,-2738.3602120084547,-2241.499681744637,1595.1123102171887,47853.36930651566,496.86053026381796,14905.81590791454,-30000,-30000,-30000,0,0,0.1475096956118691,0.0,-208.038827012
2021-02-22,True,True,0.41,340,500,125,2cd,1,734.8608847,-294.5130534,563.76085917,652.8291452000002,-6199.866849813173,-4791.5571101269925,-4310.122240718303,1408.3097396861795,42249.29219058539,481.4348694086893,14443.046082260682,-30000,-30000,-30000,0,0,0.1412131758464834,0.0,-0.0
2021-02-23,True,True,0.41,340,500,125,2cd,1,694.191308,-340.2875035,520.32500455,618.8333438200041,-6551.778879777401,-5071.285482855894,-4589.850613447203,1480.4933969215072,44414.80190764522,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
2021-02-24,True,True,0.41,340,500,125,2cd,1,772.9652218,-306.2333273,527.1749880499998,648.5750194999998,-6467.194075585224,-5056.762902185958,-4575.328032777267,1410.4311733992654,42312.93520197796,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-02-25,True,True,0.41,340,500,125,2cd,1,606.4153745,-46.9199996,594.338449523,719.338449523,-6124.497151923909,-6018.828622342764,-5537.393752934074,105.66852958114487,3170.0558874343455,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-02-26,True,True,0.41,340,500,125,2cd,1,669.3629454,-84.2708325,623.97915917,738.56294566,-5604.130875652474,-5369.9543512522605,-4888.51948184357,234.17652440021263,7025.29573200638,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
2021-02-27,True,True,0.41,340,500,125,2cd,1,674.3750052999999,-202.2086925,605.22593837,730.22593837,-5709.434288344175,-5077.234814146308,-4595.799944737619,632.199474197867,18965.98422593601,481.4348694086893,14443.046082260682,-30000,-30000,-30000,0,0,0.1412131758464834,0.0,-0.0
2021-02-28,True,True,0.41,340,500,125,2cd,1,566.4750201,-119.9333306,534.8375202200001,659.8375202200001,-3740.2525215693,-3375.1382963424303,-3280.276109610176,365.1142252268697,10953.42675680609,94.86218673225449,2845.865601967634,-30000,-30000,-30000,0,0,-0.07555797353797,0.0,-0.0
2021-03-01,True,True,0.41,340,500,125,2cd,1,623.9782717999999,-61.63043304,600.7043587599999,694.58693564,-5169.761195973891,-5004.779874945587,-4523.345005536896,164.98132102830368,4949.4396308491105,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
2021-03-02,True,True,0.41,340,500,125,2cd,1,799.8086777000002,-344.450007,554.7130445,653.4565243,-6405.2433320104665,-4585.912545869224,-4104.477676460534,1819.3307861412425,54579.92358423727,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-03-03,True,True,0.41,340,500,125,2cd,1,719.0448106,-269.2782554,610.53912103,734.7391210300043,-6279.020680955318,-5272.982629016311,-4791.547759607621,1006.0380519390072,30181.14155817022,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-03-04,True,True,0.41,340,500,125,2cd,1,728.3086972,-337.9608607,520.0782395,606.8217271000002,-6325.464086419344,-4629.924418870619,-4148.489549461929,1695.5396675487266,50866.19002646179,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-03-05,True,True,0.41,340,500,125,2cd,1,660.6868724999998,-126.4666697,575.15997604,700.15997604,-6006.401304228002,-5419.16175595177,-4937.72688654308,587.2395482762322,17617.186448286964,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-03-06,True,True,0.41,340,500,125,2cd,1,673.2846268999998,-83.300003,659.1730884399999,784.1730884399999,-5877.320670118576,-5673.954678114604,-5192.519808705913,203.3659920039745,6100.979760119235,481.4348694086893,14443.046082260682,-30000,-30000,-30000,0,0,0.1412131758464834,0.0,-0.0
2021-03-07,True,True,0.41,340,500,125,2cd,1,634.5514811,-137.5260924,549.29132571,674.29132571,-4306.187614770616,-3914.1416046681215,-3785.803795648738,392.0460101024947,11761.380303074839,128.33780901938368,3850.134270581512,-30000,-30000,-30000,0,0,-0.04170742193667376,0.12463053369000003,-0.7824167009699999
2021-03-08,True,True,0.41,340,500,125,2cd,1,679.9217275000002,-183.0434776,643.72690326,768.72690326,-5692.190286544722,-5184.8511696230735,-4703.416300214384,507.3391169216475,15220.173507649424,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-03-09,True,True,0.41,340,500,125,2cd,1,675.656531,-121.9130464,640.23334987,765.23334987,-6216.792362715087,-5842.658812891596,-5361.223943482908,374.1335498234894,11224.00649470468,481.4348694086893,14443.046082260682,-30000,-30000,-30000,0,0,0.1412131758464834,0.0,-0.0
2021-03-10,True,True,0.41,340,500,125,2cd,1,777.9391372,-331.700002,577.21247905,686.9750090200041,-6743.100844795937,-5148.056006777997,-4666.621137369306,1595.044838017939,47851.345140538164,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
2021-03-11,True,True,0.41,340,500,125,2cd,1,677.8125219,-53.09565157,632.93752252,757.93752252,-5987.472828255182,-5768.682465608604,-5287.247596199915,218.7903626465786,6563.710879397358,481.43486940868837,14443.046082260651,-30000,-30000,-30000,0,0,0.14121317584648296,0.0,-0.0
2021-03-12,True,True,0.41,340,500,125,2cd,1,705.4833173,-295.0166577,614.80345404,739.80345404,-6366.181825959495,-5907.301265982589,-5425.866396573899,458.88055997690566,13766.416799307173,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-03-13,True,True,0.41,340,500,125,2cd,1,726.5565147000002,-388.8043478,568.83914819,682.81247749,-6354.494374406184,-4584.1586133269875,-4102.723743918299,1770.3357610791957,53110.07283237587,481.4348694086893,14443.046082260682,-30000,-30000,-30000,0,0,0.1412131758464834,0.0,-0.0
2021-03-14,True,True,0.41,340,500,125,2cd,1,511.8434669,-364.8874895,322.05000672,349.862503,-3408.082065459562,-1519.6635152172198,-1391.024947291131,1888.418550242342,56652.55650727027,128.63856792608885,3859.1570377826656,-30000,-30000,-30000,0,0,-0.04142945177596635,0.0,-326.111474195
2021-03-15,True,True,0.41,340,500,125,2cd,1,689.9565122,-321.2086977,642.26955529,767.26955529,-6147.3092529843225,-5209.292737354764,-4727.857867946073,938.0165156295598,28140.4954688868,481.43486940869036,14443.046082260707,-30000,-30000,-30000,0,0,0.14121317584648385,0.0,-0.0
2021-03-16,True,True,0.41,340,500,125,2cd,1,700.6166787000002,-224.7333373,630.9285714,755.9285714,-6145.893170337526,-5621.731233155899,-5140.2963637472085,524.1619371816269,15724.858115448806,481.43486940869116,14443.046082260735,-30000,-30000,-30000,0,0,0.14121317584648452,0.0,-0.0
