,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
0,2021-01-15,True,True,0.41,340,500,250,2cd,1,695.9173955,-236.4750023,567.05001803,812.8500010300003,-6269.033928466555,-5368.844355061084,-4887.409485495866,900.1895734054715,27005.68720216415,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
1,2021-01-16,True,True,0.41,340,500,250,2cd,1,697.1000075000002,-240.9739128,588.2750090000002,838.2750090000002,-5958.574208792204,-5171.754035683188,-4690.319166117971,786.8201731090159,23604.605193270472,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
2,2021-01-17,True,True,0.41,340,500,250,2cd,1,512.8478299999998,-224.4375044,389.4666747,584.0565277000001,-3535.4844427107832,-2498.864229051766,-2183.2913300440023,1036.6202136590168,31098.606409770502,315.5728990077637,9467.18697023291,0,0,0,0,0,0.06951366758562473,0.0,-1.613260906999988
3,2021-01-18,True,True,0.41,340,500,250,2cd,1,668.7427478999998,-234.0695707,527.1750179999998,599.8521702999984,-5947.101297161308,-4820.1265093897555,-4338.691639824537,1126.9747877715545,33809.24363314663,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
4,2021-01-19,True,True,0.41,340,500,250,2cd,1,555.8565236000002,-223.0565219,474.6956509,603.924993,-5635.797514174286,-4580.369464933812,-4098.934595368593,1055.428049240474,31662.841477214224,481.43486956521883,14443.046086956565,0,0,0,0,0,0.1412131759106201,0.0,-0.0
5,2021-01-20,True,True,0.41,340,500,250,2cd,1,610.208325,-225.4999987,531.50001042,595.0916583999998,-5300.569197634028,-4250.2697304813455,-3768.834860916128,1050.2994671526822,31508.984014580463,481.4348695652175,14443.046086956523,0,0,0,0,0,0.14121317591061944,0.0,-0.0
6,2021-01-21,True,True,0.41,340,500,250,2cd,1,606.3217166000002,-85.65833283,598.5374760330001,807.4347617300001,-5635.958815149847,-5402.868024240866,-4921.433154675648,233.09079090898015,6992.723727269405,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
7,2021-01-22,True,True,0.41,340,500,250,2cd,1,660.550012,-32.33750054,649.1679909,890.3749849999998,-5932.485146413829,-5848.318007742169,-5366.883138176951,84.16713867166072,2525.0141601498217,481.43486956521883,14443.046086956565,0,0,0,0,0,0.1412131759106201,0.0,-0.0
8,2021-01-23,True,True,0.41,340,500,250,2cd,1,645.700008,-99.86087083,619.200012,866.4869648700002,-5859.384240902918,-5629.011206581135,-5147.576337015918,230.37303432178211,6911.191029653464,481.43486956521696,14443.046086956509,0,0,0,0,0,0.14121317591061922,0.0,-0.0
9,2021-01-24,True,True,0.41,340,500,250,2cd,1,544.5130369,-211.2999992,441.20435354000006,660.5956488000003,-4810.614849891393,-4186.595135163749,-3705.160265598532,624.0197147276431,18720.59144182929,481.43486956521696,14443.046086956509,0,0,0,0,0,0.14121317591061922,0.0,-0.0
10,2021-01-25,True,True,0.41,340,500,250,2cd,1,645.3791915,-88.81304548,635.813025787,826.1304269999998,-5970.3758488132335,-5633.132620351839,-5151.697750786621,337.2432284613951,10117.296853841854,481.4348695652179,14443.046086956538,0,0,0,0,0,0.14121317591062074,0.0,-0.0
