datetime,battery_power,battery_discharge,battery_charge_from_grid,battery_charge_from_solar,battery_energy,net_load_after_storage,net_load_before_pv,pv,net_load_after_pv,solar_to_load,solar_to_grid,solar_to_battery,energy_price,solar_purchase_price,solar_export_price
3/16/20 0:00,-300,"MAX(B2,0)","MIN(0,B2) - E2",-P2,0,962,662,0,662,0,0,0,0.2529,0.41,0.39
3/16/20 1:00,-300,,,,276,1048,748,0,748,0,0,0,0.2529,0.41,0.39
3/16/20 2:00,-52.17391304,,,,552,738.173913,686,0,686,0,0,0,0.2529,0.41,0.39
3/16/20 3:00,0,,,,600,692,692,0,692,0,0,0,0.2529,0.41,0.39
3/16/20 4:00,0,,,,600,754,754,0,754,0,0,0,0.2529,0.41,0.39
3/16/20 5:00,0,,,,600,938,938,0,938,0,0,0,0.2529,0.41,0.39
3/16/20 6:00,0,,,,600,1348,1348,0,1348,0,0,0,0.2529,0.41,0.39
3/16/20 7:00,0,,,,600,1252,1490,238,1252,238,0,0,0.2529,0.41,0.39
3/16/20 8:00,298,,,,600,0,999,701,298,701,0,0,1.0207,0.41,0.39
3/16/20 9:00,254,,,,276.0869565,46,2023,1723,300,1723,0,0,1.0207,0.41,0.39
3/16/20 10:00,-300,,,,0,0,1837,2383,0,1837,246,300,1.0207,0.41,0.39
3/16/20 11:00,-300,,,,276,0,1875,2617,0,1875,442,300,1.0207,0.41,0.39
3/16/20 12:00,-52.17391304,,,,552,32.17391304,1969,1989,0,1969,0,20,0.5968,0.41,0.39
3/16/20 13:00,0,,,,600,0,2215,2977,0,2215,762,0,0.5968,0.41,0.39
3/16/20 14:00,0,,,,600,254,2881,2627,254,2627,0,0,0.5968,0.41,0.39
3/16/20 15:00,0,,,,600,30,1859,1829,30,1829,0,0,0.5968,0.41,0.39
3/16/20 16:00,0,,,,600,1654,2133,479,1654,479,0,0,0.5968,0.41,0.39
3/16/20 17:00,300,,,,600,928,1606,378,1228,378,0,0,1.0207,0.41,0.39
3/16/20 18:00,252,,,,273.9130435,952,1210,6,1204,6,0,0,1.0207,0.41,0.39
3/16/20 19:00,0,,,,0,1336,1336,0,1336,0,0,0,1.0207,0.41,0.39
3/16/20 20:00,0,,,,0,1198,1198,0,1198,0,0,0,1.0207,0.41,0.39
3/16/20 21:00,0,,,,0,1308,1308,0,1308,0,0,0,0.5968,0.41,0.39
3/16/20 22:00,0,,,,0,1318,1318,0,1318,0,0,0,0.5968,0.41,0.39
3/16/20 23:00,0,,,,0,1168,1168,0,1168,0,0,0,0.5968,0.41,0.39
