date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
__,,,,,____kWh,____kW,____,,____,____,_______,__________,_____,_______,__________,______,________,______,________,_____,_______,__________,______,______,,______,__________
3/16/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,2881,-2977,1654,1654,-23047.9378,-10890.5644,-8951.880409,12157.3734,364721.202,1938.683991,58160.51974,-115240,-66160,-66160,49080,0,0.112317216,600.3965217,-289.673913
3/17/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,3564,-2809,1660,1668,-24679.7444,-12274.1086,-9549.485609,12405.6358,372169.074,2724.622991,81738.68974,-142560,-66400,-66720,76160,-320,0.153946238,607.5197353,-662.6654064
3/18/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,2061,-2783,1658,1618,-21180.242,-9607.8144,-7640.550809,11572.4276,347172.828,1967.263591,59017.90774,-82440,-66320,-64720,16120,1600,0.119725524,1360.47482,-303.2372401
3/19/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,1653,-2746,1012,1290,-15497.4996,-6300.274,-4855.608809,9197.2256,275916.768,1444.665191,43339.95574,-66120,-40480,-51600,25640,-11120,0.039097726,2728.171645,-55.2221172
3/20/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,1427,-2804,972,1240,-15235.1386,-5851.1872,-4414.687609,9383.9514,281518.542,1436.499591,43094.98774,-57080,-38880,-49600,18200,-10720,0.04026902,2957.277845,-51.34688091
3/21/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,1534,-2599,1222,1270,-16343.2508,-8004.2636,-6596.343609,8338.9872,250169.616,1407.919991,42237.59974,-61360,-48880,-50800,12480,-1920,0.07434023,1988.159546,-37.78355388
3/22/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,1172,-2664,806,1306,-9834.1265,-5464.1604,-3315.212209,4369.9661,131098.983,2148.948191,64468.44574,-46880,-32240,-52240,14640,-20000,0.047173628,2280.756862,-389.4612476
4/6/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,1982,-2300,1172,1326,-14098.2394,-7416.1606,-5163.101009,6682.0788,200462.364,2253.059591,67591.78774,-79280,-46880,-53040,32400,-6160,0.102687629,1289.828053,-482.4669187
4/7/20,TRUE,TRUE,0.41,340,2000,500,2cd,1,1753,-2763,1552,2052,-19039.1088,-8566.8236,-7218.104209,10472.2852,314168.556,1348.719391,40461.58174,-70120,-62080,-82080,8040,-20000,-0.012599679,1791.804499,-9.688090737
