,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
0,2020-03-16,True,True,0.41,340,2000,500,2cd,1,2881.0,-2977.0,1654.0,1654.0,-23047.9378,-10890.5644,-8951.880408695652,12157.3734,364721.202,1938.6839913043477,58160.51973913043,-115240.0,-66160.0,-66160.0,49080.0,0.0,0.11231721595216904,600.3965217391304,-289.67391304347825
1,2020-03-17,True,True,0.41,340,2000,500,2cd,1,3564.0,-2809.0,1660.0,1668.0,-24679.7444,-12274.1086,-9549.485608695652,12405.6358,372169.074,2724.622991304348,81738.68973913044,-142560.0,-66400.0,-66720.0,76160.0,-320.0,0.15394623769037485,607.5197353497165,-662.6654064272212
2,2020-03-18,True,True,0.41,340,2000,500,2cd,1,2061.0,-2783.0,1658.0,1618.0,-21180.242,-9607.8144,-7640.550808695651,11572.427599999999,347172.828,1967.2635913043487,59017.90773913046,-82440.0,-66320.0,-64720.0,16120.0,1600.0,0.11972552433911243,1360.4748204158789,-303.23724007561435
3,2020-03-19,True,True,0.41,340,2000,500,2cd,1,1653.0,-2746.0,1012.0,1290.0,-15497.4996,-6300.273999999999,-4855.6088086956515,9197.2256,275916.768,1444.665191304348,43339.95573913044,-66120.0,-40480.0,-51600.0,25640.0,-11120.0,0.03909772607408479,2728.1716446124765,-55.22211720226835
4,2020-03-20,True,True,0.41,340,2000,500,2cd,1,1427.0,-2804.0,972.0,1240.0,-15235.138600000002,-5851.1872,-4414.687608695653,9383.951400000002,281518.5420000001,1436.4995913043476,43094.98773913043,-57080.0,-38880.0,-49600.0,18200.0,-10720.0,0.040269020250008225,2957.277844990548,-51.34688090737235
5,2020-03-21,True,True,0.41,340,2000,500,2cd,1,1534.0,-2599.0,1222.0,1270.0,-16343.2508,-8004.2636,-6596.343608695652,8338.9872,250169.61599999998,1407.9199913043485,42237.599739130455,-61360.0,-48880.0,-50800.0,12480.0,-1920.0,0.07434022992777711,1988.1595463137996,-37.78355387523636
6,2020-03-22,True,True,0.41,340,2000,500,2cd,1,1172.0,-2664.0,806.0,1306.0,-9834.1265,-5464.160400000001,-3315.2122086956524,4369.9661,131098.98299999998,2148.9481913043483,64468.445739130446,-46880.0,-32240.0,-52240.0,14640.0,-20000.0,0.04717362771098621,2280.756862003781,-389.461247637051
7,2020-04-06,True,True,0.41,340,2000,500,2cd,1,1982.0,-2300.0,1172.0,1326.0,-14098.239399999999,-7416.160599999999,-5163.101008695652,6682.078799999999,200462.36399999997,2253.059591304347,67591.7877391304,-79280.0,-46880.0,-53040.0,32400.0,-6160.0,0.10268762920736307,1289.8280529300569,-482.4669187145557
8,2020-04-07,True,True,0.41,340,2000,500,2cd,1,1753.0,-2763.0,1552.0,2052.0,-19039.1088,-8566.8236,-7218.104208695652,10472.285200000002,314168.55600000004,1348.7193913043475,40461.58173913042,-70120.0,-62080.0,-82080.0,8040.0,-20000.0,-0.012599679372281236,1791.8044990548206,-9.68809073724002
9,2020-04-08,True,True,0.41,340,2000,500,2cd,1,1342.0,-2683.0,1230.0,1730.0,-14913.467999999999,-6497.8822,-5169.576808695652,8415.585799999999,252467.57399999996,1328.3053913043477,39849.16173913043,-53680.0,-49200.0,-69200.0,4480.0,-20000.0,-0.014567191746361119,3010.8,-0.0
10,2020-04-09,True,True,0.41,340,2000,500,2cd,1,1403.0,-2702.0,1028.0,1480.0,-15992.159200000002,-7034.0116,-5403.579008695652,8958.147600000002,268744.4280000001,1630.4325913043476,48912.97773913043,-56120.0,-41120.0,-59200.0,15000.0,-18080.0,0.02076282131319207,2929.010586011342,-143.38374291115306
11,2020-04-10,True,True,0.41,340,2000,500,2cd,1,2034.0,-2439.0,1034.0,1506.0,-15447.970700000002,-7604.2358,-6275.930408695652,7843.734900000001,235312.04700000005,1328.3053913043486,39849.16173913046,-81360.0,-41360.0,-60240.0,40000.0,-18880.0,-0.007679402817366232,1851.7200000000003,-0.0
12,2020-04-11,True,True,0.41,340,2000,500,2cd,1,1342.0,-431.0,1158.0,1622.0,-15785.060199999998,-14416.5368,-12507.534713043477,1368.5233999999982,41055.70199999995,1909.0020869565233,57270.0626086957,-53680.0,-46320.0,-64880.0,7360.0,-18560.0,0.07070932287193266,0.0,-0.0
13,2020-04-12,True,True,0.41,340,2000,500,2cd,1,1332.0,-3030.0,1332.0,1470.0,-13704.327400000002,-6929.064,-5600.758608695653,6775.263400000002,203257.90200000006,1328.3053913043477,39849.16173913043,-53280.0,-53280.0,-58800.0,0.0,-5520.0,0.05504601465617287,4241.64,-0.0
14,2020-05-04,True,True,0.41,340,2000,500,2cd,1,1178.0,-2545.0,942.0,1298.0,-13355.45,-5483.8826,-4243.357408695652,7871.567400000001,236147.02200000003,1240.5251913043476,37215.75573913043,-47120.0,-37680.0,-51920.0,9440.0,-14240.0,0.004025948250875544,3123.12,-0.0
15,2020-05-05,True,True,0.41,340,2000,500,2cd,1,1517.0,-356.0,1284.0,1740.0,-15373.0521,-13717.176,-11808.173913043478,1655.8761000000013,49676.28300000004,1909.0020869565215,57270.06260869565,-60680.0,-51360.0,-69600.0,9320.0,-18240.0,0.07197123475496325,0.0,-0.0
