datetime,battery_power,battery_energy,net_load_after_storage,net_load_before_pv,pv,net_load_after_pv,solar_to_load,solar_to_grid,solar_to_battery
2020-03-16 00:00:00,-389.75,-0.0,1051.75,662,0,662,0,0.0,0.0
2020-03-16 01:00:00,-303.75,389.75,1051.75,748,0,748,0,0.0,0.0
2020-03-16 02:00:00,-365.75,693.5,1051.75,686,0,686,0,0.0,0.0
2020-03-16 03:00:00,-359.75,1059.25,1051.75,692,0,692,0,0.0,0.0
2020-03-16 04:00:00,-297.75,1419.0,1051.75,754,0,754,0,0.0,0.0
2020-03-16 05:00:00,-113.75,1716.75,1051.75,938,0,938,0,0.0,0.0
2020-03-16 06:00:00,296.25,1830.5,1051.75,1348,0,1348,0,0.0,0.0
2020-03-16 07:00:00,200.25,1534.25,1051.75,1490,238,1252,238,0.0,0.0
2020-03-16 08:00:00,298.0,1334.0,-0.0,999,701,298,701,0.0,0.0
2020-03-16 09:00:00,300.0,1036.0,-0.0,2023,1723,300,1723,0.0,0.0
2020-03-16 10:00:00,-546.0,736.0,-0.0,1837,2383,0,1837,0.0,546.0
2020-03-16 11:00:00,-0.0,1282.0,-0.0,1875,2617,0,1875,742.0,0.0
2020-03-16 12:00:00,-196.0,1282.0,-0.0,1969,2165,0,1969,0.0,196.0
2020-03-16 13:00:00,-522.0,1478.0,-0.0,2215,2977,0,2215,240.0,522.0
2020-03-16 14:00:00,-0.0,2000.0,254.0,2881,2627,254,2627,0.0,0.0
2020-03-16 15:00:00,-0.0,2000.0,30.0,1859,1829,30,1829,0.0,0.0
2020-03-16 16:00:00,602.25,2000.0,1051.75,2133,479,1654,479,0.0,0.0
2020-03-16 17:00:00,176.25,1397.75,1051.75,1606,378,1228,378,0.0,0.0
2020-03-16 18:00:00,152.25,1221.5,1051.75,1210,6,1204,6,0.0,0.0
2020-03-16 19:00:00,284.25,1069.25,1051.75,1336,0,1336,0,0.0,0.0
2020-03-16 20:00:00,146.25,785.0,1051.75,1198,0,1198,0,0.0,0.0
2020-03-16 21:00:00,256.25,638.75,1051.75,1308,0,1308,0,0.0,0.0
2020-03-16 22:00:00,266.25,382.5,1051.75,1318,0,1318,0,0.0,0.0
2020-03-16 23:00:00,116.25,116.25,1051.75,1168,0,1168,0,0.0,0.0
