date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,energy_saving_per_kWh,storage_params
3/16/20,TRUE,TRUE,0.41,340,400,100,2cd,1,2881,-2977,1654,1654.000057,-23047.9378,-10890.5644,-10414.7333,12157.3734,364721.202,475.8311041,14274.93312,-115240,-66160,-66160.00228,49080,-0.002279527,0.186527176,783.7882096,-96.87752323,35.68733281,400kWh-100kW
3/17/20,TRUE,TRUE,0.41,340,400,100,2cd,1,3564,-2809,1660,1660.016384,-24679.7444,-12274.1086,-11696.21105,12405.6358,372169.074,577.8975455,17336.92636,-142560,-66400,-66400.65536,76160,-0.65536,0.235549844,1099.633009,-145.3155544,43.34231591,400kWh-100kW
3/18/20,TRUE,TRUE,0.41,340,400,100,2cd,1,2061,-2783,1658,1558,-21180.242,-9607.8144,-9131.977982,11572.4276,347172.828,475.8364182,14275.09255,-82440,-66320,-62320,16120,4000,0.252085805,1556.764737,-96.88117404,35.68773137,400kWh-100kW
3/19/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1653,-2746,1012,912,-15497.4996,-6300.274,-5926.507118,9197.2256,275916.768,373.7668819,11213.00646,-66120,-40480,-36480,25640,4000,0.203567008,2734.62194,-48.44103773,28.03251614,400kWh-100kW
3/20/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1427,-2804,972,872,-15235.1386,-5851.1872,-5477.42032,9383.9514,281518.542,373.7668805,11213.00641,-57080,-38880,-34880,18200,4000,0.203567008,2960.041941,-48.4410368,28.03251604,400kWh-100kW
3/21/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1534,-2599,1222,1122,-16343.2508,-8004.2636,-7652.952154,8338.9872,250169.616,351.3114464,10539.34339,-61360,-48880,-44880,12480,4000,0.192685167,1988.159014,-37.78411361,26.34835848,400kWh-100kW
3/22/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1172,-2664,806,906,-9834.1265,-5464.1604,-4988.323523,4369.9661,131098.983,475.8368774,14275.10632,-46880,-32240,-36240,14640,-4000,0.117040654,2559.064437,-96.88148947,35.6877658,400kWh-100kW
4/6/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1982,-2300,1172,1072,-14098.2394,-7416.1606,-6838.253805,6682.0788,200462.364,577.9067948,17337.20384,-79280,-46880,-42880,32400,4000,0.29950879,1610.526966,-145.3219071,43.34300961,400kWh-100kW
4/7/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1753,-2763,1552,1652,-19039.1088,-8566.8236,-8274.712718,10472.2852,314168.556,292.1108817,8763.326452,-70120,-62080,-66080,8040,-4000,0.007493415,1791.803944,-9.688674659,21.90831613,400kWh-100kW
4/8/20,TRUE,TRUE,0.41,340,400,100,2cd,1,1342,-2683,1230,1330,-14913.468,-6497.8822,-6226.185318,8415.5858,252467.574,271.696882,8150.906461,-53680,-49200,-53200,4480,-4000,-0.009119666,3010.799444,-0.000584125,20.37726615,400kWh-100kW
