date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,
3/16/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2881,-2977,1654,1654.025485,-23047.9378,-10890.5644,-9929.409709,12157.3734,364721.202,961.1546906,28834.64072,-115240,-66160,-66161.01941,49080,-1.019410042,0.265074485,622.0899058,-266.8680478,1.601924484
3/17/20,TRUE,TRUE,0.41,340,600,300,2cd,1,3564,-2809,1660,1660.003915,-24679.7444,-12274.1086,-11312.96072,12405.6358,372169.074,961.1478829,28834.43649,-142560,-66400,-66400.15658,76160,-0.156581382,0.265081568,984.0099058,-266.8680478,1.601913138
3/18/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2061,-2783,1658,1418,-21180.242,-9607.8144,-8774.572654,11572.4276,347172.828,833.2417456,24997.25237,-82440,-66320,-56720,16120,9600,0.3269866,1452.673688,-206.3102254,1.388736243
3/19/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1653,-2746,1012,1090,-15497.4996,-6300.274,-5785.422439,9197.2256,275916.768,514.851561,15445.54683,-66120,-40480,-43600,25640,-3120,0.080618016,2728.171384,-55.22239135,0.858085935
3/20/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1427,-2804,972,1038.08,-15235.1386,-5851.1872,-5344.501364,9383.9514,281518.542,506.6858359,15200.57508,-57080,-38880,-41523.2,18200,-2643.2,0.083685238,2957.277666,-51.34706859,0.844476393
3/21/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1534,-2599,1222,1120.000202,-16343.2508,-8004.2636,-7526.158139,8338.9872,250169.616,478.1054609,14343.16383,-61360,-48880,-44800.00807,12480,4079.991928,0.154852468,1988.159875,-37.7832087,0.796842435
3/22/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1172,-2664,806,1106,-9834.1265,-5464.1604,-4502.246812,4369.9661,131098.983,961.9135878,28857.40763,-46880,-32240,-44240,14640,-12000,0.131858237,2396.873978,-267.3894081,1.603189313
4/6/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1982,-2300,1172,1170.025485,-14098.2394,-7416.1606,-6454.269029,6682.0788,200462.364,961.8915705,28856.74712,-79280,-46880,-46801.01941,32400,78.98058996,0.266156336,1494.423917,-267.3789592,1.603152618
4/7/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1753,-2763,1552,1648.08,-19039.1088,-8566.8236,-8147.917833,10472.2852,314168.556,418.9057666,12567.173,-70120,-62080,-65923.2,8040,-3843.2,0.032664347,1791.804241,-9.688362453,0.698176278
4/8/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1342,-2683,1230,1530,-14913.468,-6497.8822,-6099.390403,8415.5858,252467.574,398.491797,11954.75391,-53680,-49200,-61200,4480,-12000,,3010.799723,-0.000291259,0.664152995
4/9/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1403,-2702,1028,1278.08,-15992.1592,-7034.0116,-6333.392697,8958.1476,268744.428,700.6189034,21018.5671,-56120,-41120,-51123.2,15000,-10003.2,0.061342254,2929.010351,-143.3839897,1.167698172
4/10/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2034,-2439,1034,1306,-15447.9707,-7604.2358,-7205.744003,7843.7349,235312.047,398.491797,11954.75391,-81360,-41360,-52240,40000,-10880,-0.20425065,1851.719723,-0.000291256,0.664152995
4/11/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1342,-431,1158,1272.08,-15785.0602,-14416.5368,-13843.88897,1368.5234,41055.702,572.6478285,17179.43485,-53680,-46320,-50883.2,7360,-4563.2,0.083735102,0,0,0.954413047
4/12/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1332,-3030,1332,1332,-13704.3274,-6929.064,-6530.572203,6775.2634,203257.902,398.491797,11954.75391,-53280,-53280,-53280,0,0,0.077074922,4241.639723,-0.000291259,0.664152995
5/4/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1178,-2545,942,1098,-13355.45,-5483.8826,-5085.390803,7871.5674,236147.022,398.491797,11954.75391,-47120,-37680,-43920,9440,-6240,-0.019789838,3123.119723,-0.000291259,0.664152995
5/5/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1517,-356,1284,1404.08,-15373.0521,-13717.176,-13144.52817,1655.8761,49676.283,572.6478285,17179.43485,-60680,-51360,-56163.2,9320,-4803.2,0.080650562,0,0,0.954413047
5/6/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1387,-804,1008,1052,-13917.9348,-10064.8348,-9492.186972,3853.1,115593,572.6478285,17179.43485,-55480,-40320,-42080,15160,-1760,0.11854356,0,0,0.954413047
5/7/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2408,-2929,1422,1422,-22149.7157,-9719.7308,-8947.707257,12429.9849,372899.547,772.0235431,23160.70629,-96320,-56880,-56880,39440,0,0.205386667,995.1448021,-177.2621311,1.286705905
5/8/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2133,-1474,2120,2120,-23784.7091,-17438.9086,-16711.09277,6345.8005,190374.015,727.8158285,21834.47485,-85320,-84800,-84800,520,0,0.191105697,0,-106.6,1.213026381
5/9/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2194,-1400,1696,1741.785088,-22054.4262,-16527.6072,-15954.95937,5526.819,165804.57,572.6478285,17179.43485,-87760,-67840,-69671.40352,19920,-1831.40352,0.117681086,0,0,0.954413047
5/10/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2672,-2804,1424,1724,-19972.2792,-10914.492,-9972.790162,9057.7872,271733.616,941.7018385,28251.05515,-106880,-56960,-68960,49920,-12000,0.124840754,511.541472,-253.525632,1.569503064
6/22/20,TRUE,TRUE,0.41,340,600,300,2cd,1,3435,-1099,2922,2922,-26592.366,-21686.6526,-21114.00477,4905.7134,147171.402,572.6478285,17179.43485,-137400,-116880,-116880,20520,0,0.139478803,0,0,0.954413047
6/23/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2540,-481,2268,2268,-25685.0884,-23642.0342,-23069.38637,2043.0542,61291.626,572.6478285,17179.43485,-101600,-90720,-90720,10880,0,0.139478803,0,0,0.954413047
6/24/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2728,-2668,1632,1647.998976,-22154.6196,-12173.113,-11340.29266,9981.5066,299445.198,832.8203441,24984.61032,-109120,-65280,-65919.95904,43840,-639.95904,0.217819839,55.3176,-165.7056,1.388033907
6/25/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1552,-2359,970,1268.08,-7326.6128,-3205.9698,-2674.787009,4120.643,123619.29,531.1827907,15935.48372,-62080,-38800,-50723.2,23280,-11923.2,-0.067789522,2881.47897,-62.97287805,0.885304651
6/26/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1000,-1964,686,686,-8741.8473,-4477.8264,-3550.635049,4264.0209,127920.627,927.1913513,27815.74054,-40000,-27440,-27440,12560,0,0.254499732,1901.648652,-250.9109043,1.545318919
6/27/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1245,-861,1016,1016,-12562.3556,-8983.5852,-8410.937372,3578.7704,107363.112,572.6478285,17179.43485,-49800,-40640,-40640,9160,0,0.139478803,0,0,0.954413047
6/28/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2010,-848,1700,1700,-19791.3234,-16959.9418,-16387.29397,2831.3816,84941.448,572.6478285,17179.43485,-80400,-68000,-68000,12400,0,0.139478803,0,0,0.954413047
7/13/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2623.471,-1127,1764.471,1771.50359,-20426.01557,-16961.58027,-16388.93244,3464.4353,103933.059,572.6478285,17179.43485,-104938.84,-70578.84,-70860.14358,34360,-281.3035807,0.13617169,0,0,0.954413047
7/14/20,TRUE,TRUE,0.41,340,600,300,2cd,1,3173.045,-1954,2678.045,2685.07759,-28860.94371,-23673.88141,-23101.23358,5187.0623,155611.869,572.6478285,17179.43485,-126921.8,-107121.8,-107403.1036,19800,-281.3035807,0.13617169,0,0,0.954413047
7/15/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2078.301,-1024,1787.584,1787.584,-22121.60485,-19013.21395,-18440.56612,3108.3909,93251.727,572.6478285,17179.43485,-83132.04,-71503.36,-71503.36,11628.68,0,0.139478803,0,0,0.954413047
7/16/20,TRUE,TRUE,0.41,340,600,300,2cd,1,3082.848,-2129,1521.995,1498,-25024.45131,-16458.49788,-15707.9559,8565.95343,256978.6029,750.5419725,22516.25917,-123313.92,-60879.8,-59920,62434.12,959.8,0.209053624,216.02022,-122.2128,1.250903287
7/17/20,TRUE,TRUE,0.41,340,600,300,2cd,1,2334.505,-659,2008.09,2307.505,-24752.08628,-22810.71158,-22238.06375,1941.3747,58241.241,572.6478285,17179.43485,-93380.2,-80323.6,-92300.2,13056.6,-11976.6,-0.035621421,0,0,0.954413047
7/18/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1707.089,-1699,1430.132,1600,-19224.76606,-13646.74236,-13074.09453,5578.0237,167340.711,572.6478285,17179.43485,-68283.56,-57205.28,-64000,11078.28,-6794.72,0.054237729,0,0,0.954413047
7/19/20,TRUE,TRUE,0.41,340,600,300,2cd,1,1607.73,-1142,1254.026,1261.05859,-16250.65446,-11564.85306,-10992.20523,4685.8014,140574.042,572.6478285,17179.43485,-64309.2,-50161.04,-50442.34358,14148.16,-281.3035807,0.13617169,0,0,0.954413047
