date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge
2020-03-16,True,True,0.41,340,1000,250,2cd,1,2881.0,-2977.0,1654.0,1654.0,-23047.9378,-10890.5644,-9716.061704347829,12157.3734,364721.2020000001,1174.5026956521726,35235.08086956517,-115240.0,-66160.0,-66160.0,49080.0,0.0,0.13492581724056674,645.5524763705105,-242.2022684310019
2020-03-17,True,True,0.41,340,1000,250,2cd,1,3564.0,-2809.0,1660.0,1660.0,-24679.7444,-12274.1086,-10844.430904347826,12405.6358,372169.07399999996,1429.6776956521735,42890.330869565216,-142560.0,-66400.0,-66400.0,76160.0,0.0,0.1621618414733581,892.2787145557656,-363.30340264650283
2020-03-18,True,True,0.41,340,1000,250,2cd,1,2061.0,-2783.0,1658.0,1408.0,-21180.242000000002,-9607.8144,-8559.878504347826,11572.4276,347172.828,1047.9358956521737,31438.076869565215,-82440.0,-66320.0,-56320.0,16120.0,10000.0,0.19025382840619187,1475.6685822306238,-182.13610586011345
2020-03-19,True,True,0.41,340,1000,250,2cd,1,1653.0,-2746.0,1012.0,1040.0,-15497.4996,-6300.2739999999985,-5519.761504347826,9197.2256,275916.768,780.5124956521731,23415.3748695652,-66120.0,-40480.0,-41600.0,25640.0,-1120.0,0.08221515901706744,2728.1716446124765,-55.22211720226846
2020-03-20,True,True,0.41,340,1000,250,2cd,1,1427.0,-2804.0,972.0,990.0,-15235.138600000002,-5851.1872,-5078.840304347826,9383.951400000002,281518.54200000013,772.3468956521738,23170.40686956521,-57080.0,-38880.0,-39600.0,18200.0,-720.0,0.08433020311194328,2957.277844990548,-51.3468809073724
2020-03-21,True,True,0.41,340,1000,250,2cd,1,1534.0,-2599.0,1222.0,1120.0,-16343.2508,-8004.2636,-7260.496304347826,8338.9872,250169.616,743.7672956521737,22313.01886956521,-61360.0,-48880.0,-44800.0,12480.0,4080.0,0.11685736643129553,1988.1595463138,-37.783553875236265
2020-03-22,True,True,0.41,340,1000,250,2cd,1,1172.0,-2664.0,806.0,1056.0,-9834.1265,-5464.160400000002,-4289.6577043478255,4369.9661,131098.98299999998,1174.5026956521742,35235.08086956522,-46880.0,-32240.0,-42240.0,14640.0,-10000.0,0.0597763748069795,2420.8324763705104,-242.2022684310019
2020-04-06,True,True,0.41,340,1000,250,2cd,1,1982.0,-2300.0,1172.0,1076.0,-14098.2394,-7416.160599999997,-6072.478104347826,6682.0787999999975,200462.364,1343.6824956521732,40310.4748695652,-79280.0,-46880.0,-43040.0,32400.0,3840.0,0.1808659673603359,1449.4759168241967,-314.6319848771267
2020-04-07,True,True,0.41,340,1000,250,2cd,1,1753.0,-2763.0,1552.0,1802.0,-19039.1088,-8566.8236,-7882.256904347827,10472.285200000002,314168.55600000004,684.5666956521728,20537.00086956518,-70120.0,-62080.0,-72080.0,8040.0,-10000.0,-0.010660174364165331,1791.8044990548206,-9.688090737240064
2020-04-08,True,True,0.41,340,1000,250,2cd,1,1342.0,-2683.0,1230.0,1480.0,-14913.468,-6497.8822,-5833.729504347826,8415.585799999999,252467.574,664.1526956521739,19924.580869565216,-53680.0,-49200.0,-59200.0,4480.0,-10000.0,-0.014567191746361119,3010.8,-0.0
