date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
1/24/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,1700,0,1700,3400,-15178.48,-15178.48,-12381.69533,0,0,2796.784669,83903.54008,-300000,-300000,-300000,0,0,-0.031337422,0,0,900,1000,1500,800,900,0,0.279678467,0,1
1/25/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8300,0,8300,10000,-51093.63,-51093.63,-41861.54089,0,0,9232.089112,276962.6733,-300000,-300000,-300000,0,0,0.133046122,0,0,8300,4000,3600,1500,2300,0,0.923208911,0,0
1/26/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8100,0,8100,10000,-43911.835,-43911.835,-35207.76091,0,0,8704.074093,261122.2228,-300000,-300000,-300000,0,0,0.122034034,0,0,8100,3200,3100,1400,1400,0,0.870407409,0,0
1/27/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,3400,0,3400,5900,-35023.795,-35023.795,-27244.40817,0,0,7779.386834,233381.605,-300000,-300000,-300000,0,0,0.102306773,0,0,2900,3400,3400,1650,1100,0,0.777938683,0,1
1/28/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,3500,0,3500,6000,-34343.645,-34343.645,-26573.67,0,0,7769.975,233099.25,-300000,-300000,-300000,0,0,0.102102732,0,0,3000,3500,2600,2600,1350,0,0.7769975,0,1
1/29/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8000,0,8000,10000,-47581.1,-47581.1,-38349.01089,0,0,9232.089112,276962.6733,-300000,-300000,-300000,0,0,0.133046122,0,0,8000,4250,2000,1750,2800,0,0.923208911,0,1
1/30/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,3600,0,3600,5465.311909,-29553.683,-29553.683,-23698.68343,0,0,5854.999575,175649.9872,-300000,-300000,-300000,0,0,0.058844176,0,0,2600,3600,2150,1850,1000,0,0.585499957,0,1
5/24/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8500,0,8500,10000,-44091.725,-44091.725,-34906.48361,0,0,9185.241389,275557.2417,-300000,-300000,-300000,0,0,0.13207572,0,0,8500,3200,2100,2100,2300,0,0.918524139,0,0
5/25/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8600,0,8600,10000,-46932.372,-46932.372,-37512.892,0,0,9419.48,282584.4,-300000,-300000,-300000,0,0,0.136915492,0,0,8600,3600,2600,2150,1900,0,0.941948,1,1
5/26/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,4000,0,4000,6500,-42267.08,-42267.08,-32972.52726,0,0,9294.552741,278836.5822,-300000,-300000,-300000,0,0,0.134338069,0,0,2800,4000,3000,1250,3300,0,0.929455274,0,1
5/27/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8400,0,8400,10000,-47951.984,-47951.984,-38688.66307,0,0,9263.320926,277899.6278,-300000,-300000,-300000,0,0,0.133692368,0,0,8400,3850,2800,2000,2800,0,0.926332093,0,1
5/28/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,3700,0,3700,5900,-42515.425,-42515.425,-33095.945,0,0,9419.48,282584.4,-300000,-300000,-300000,0,0,0.136915492,0,0,3400,3400,3200,2450,2900,0,0.941948,1,1
5/29/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,7900,0,7900,10000,-42126.875,-42126.875,-34206.87452,0,0,7920.000482,237600.0145,-300000,-300000,-300000,0,0,0.105346864,0,0,7900,4000,2000,1100,1650,0,0.792000048,0,1
5/30/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,2150,0,2150,4350,-22343.095,-22343.095,-17231.52539,0,0,5111.569612,153347.0884,-300000,-300000,-300000,0,0,0.040852281,0,0,1600,1850,1850,1200,1300,0,0.511156961,0,0
5/31/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8100,0,8100,10000,-42097.865,-42097.865,-33490.62363,0,0,8607.241371,258217.2411,-300000,-300000,-300000,0,0,0.119995897,0,0,8100,2700,2600,1400,1650,0,0.860724137,0,0
8/24/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8200,0,8200,10000,-41332.15,-41332.15,-33896.38361,0,0,7435.766389,223072.9917,-300000,-300000,-300000,0,0,0.094810319,0,0,8200,3200,2400,2400,1150,0,0.743576639,0,1
8/25/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,2800,0,2800,5300,-30387.07,-30387.07,-22398.33133,0,0,7988.738667,239662.16,-300000,-300000,-300000,0,0,0.106827435,0,0,2800,2600,2000,1950,1700,0,0.798873867,0,1
8/26/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8300,0,8300,10000,-37927.87,-37927.87,-31070.10363,0,0,6857.766371,205732.9911,-300000,-300000,-300000,0,0,0.081964612,0,0,8300,2650,2200,2000,1700,0,0.685776637,0,1
8/27/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,3600,0,3600,6100,-35685.145,-35685.145,-26774.85635,0,0,8910.288648,267308.6595,-300000,-300000,-300000,0,0,0.126354724,0,0,3500,3600,2200,2050,1250,0,0.891028865,0,1
8/28/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8200,0,8200,10000,-45718,-45718,-37629.36181,0,0,8088.638185,242659.1456,-300000,-300000,-300000,0,0,0.108972853,0,0,8200,3500,3600,1400,1200,0,0.808863819,0,1
8/29/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8500,0,8500,10000,-46702.98,-46702.98,-37283.5,0,0,9419.48,282584.4,-300000,-300000,-300000,0,0,0.136915492,0,0,8500,3700,2600,1700,2500,0,0.941948,1,0
8/30/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,2850,0,2850,5350,-21364.33,-21364.33,-17446.05535,0,0,3918.27465,117548.2395,-300000,-300000,-300000,0,0,0.008815055,0,0,2850,1650,1500,1250,900,0,0.391827465,0,0
10/24/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,8900,0,8900,10000,-53725.99,-53725.99,-44306.51,0,0,9419.48,282584.4,-300000,-300000,-300000,0,0,0.136915492,0,0,8900,4000,3700,2600,2000,0,0.941948,1,0
10/25/20,FALSE,TRUE,0.41,340,10000,2500,2cd,1,3300,0,3300,5400,-22880.61,-22880.61,-18556.25128,0,0,4324.358724,129730.7617,-300000,-300000,-300000,0,0,0.020447269,0,0,3300,1700,1750,1600,950,0,0.432435872,0,0
