datetime,battery_power,battery_energy,net_load_after_storage,net_load_before_pv,pv,net_load_after_pv,solar_to_load,solar_to_grid,solar_to_battery,battery_discharge,battery_charge_from_solar,battery_charge_from_grid,energy_price,solar_purchase_price,solar_export_price
2020-08-12 00:00:00,-500.0,-0.0,1892.8,1392.8,0.0,1392.8,0.0,0.0,0.0,0.0,-0.0,-500.0,0.2529,0.39,0.42
2020-08-12 01:00:00,-500.0,460.0,1792.2,1292.2,0.0,1292.2,0.0,0.0,0.0,0.0,-0.0,-500.0,0.2529,0.39,0.42
2020-08-12 02:00:00,-500.0,920.0,1971.0,1471.0,0.0,1471.0,0.0,0.0,0.0,0.0,-0.0,-500.0,0.2529,0.39,0.42
2020-08-12 03:00:00,-500.0,1380.0,1750.4,1250.4,0.0,1250.4,0.0,0.0,0.0,0.0,-0.0,-500.0,0.2529,0.39,0.42
2020-08-12 04:00:00,-173.91304347826076,1840.0,1446.0130434782607,1272.1,0.0,1272.1,0.0,0.0,0.0,0.0,-0.0,-173.91304347826076,0.2529,0.39,0.42
2020-08-12 05:00:00,-0.0,2000.0,1157.6,1157.6,0.0,1157.6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.39,0.42
2020-08-12 06:00:00,-0.0,2000.0,1507.9,1560.68,52.78,1507.9,52.78,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.39,0.42
2020-08-12 07:00:00,-0.0,2000.0,1402.8000000000002,1724.65,321.85,1402.8000000000002,321.85,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.39,0.42
2020-08-12 08:00:00,500.0,2000.0,565.6999999999998,1863.77,798.07,1065.6999999999998,798.07,0.0,0.0,500.0,-0.0,0.0,1.0207,0.39,0.42
2020-08-12 09:00:00,500.0,1456.5217391304348,1254.5,3029.15,1274.65,1754.5,1274.65,0.0,0.0,500.0,-0.0,0.0,1.0207,0.39,0.42
2020-08-12 10:00:00,500.0,913.0434782608695,627.4000000000001,2745.21,1617.81,1127.4,1617.81,0.0,0.0,500.0,-0.0,0.0,1.0207,0.39,0.42
2020-08-12 11:00:00,339.99999999999994,369.56521739130426,284.30000000000024,2544.15,1919.85,624.3000000000002,1919.85,0.0,0.0,339.99999999999994,-0.0,0.0,1.0207,0.39,0.42
2020-08-12 12:00:00,-500.0,-0.0,3050.5,3257.85,707.35,2550.5,707.35,0.0,0.0,0.0,-0.0,-500.0,0.5968,0.39,0.42
2020-08-12 13:00:00,-500.0,460.0,777.2,1159.25,882.05,277.20000000000005,882.05,0.0,0.0,0.0,-0.0,-500.0,0.5968,0.39,0.42
2020-08-12 14:00:00,-500.0,920.0,2296.8,3668.94,1872.14,1796.8,1872.14,0.0,0.0,0.0,-0.0,-500.0,0.5968,0.39,0.42
2020-08-12 15:00:00,-500.0,1380.0,2419.5,3082.52,1163.02,1919.5,1163.02,0.0,0.0,0.0,-0.0,-500.0,0.5968,0.39,0.42
2020-08-12 16:00:00,-173.91304347826076,1840.0,1886.3130434782609,2319.82,607.42,1712.4,607.42,0.0,0.0,0.0,-0.0,-173.91304347826076,0.5968,0.39,0.42
2020-08-12 17:00:00,500.0,2000.0,1881.0,2748.4,367.4,2381.0,367.4,0.0,0.0,500.0,-0.0,0.0,1.0207,0.39,0.42
2020-08-12 18:00:00,500.0,1456.5217391304348,1357.2,2020.71,163.51,1857.2,163.51,0.0,0.0,500.0,-0.0,0.0,1.0207,0.39,0.42
2020-08-12 19:00:00,500.0,913.0434782608695,979.2,1479.2,0.0,1479.2,0.0,0.0,0.0,500.0,-0.0,0.0,1.0207,0.39,0.42
2020-08-12 20:00:00,339.99999999999994,369.56521739130426,1395.7,1735.7,0.0,1735.7,0.0,0.0,0.0,339.99999999999994,-0.0,0.0,1.0207,0.39,0.42
2020-08-12 21:00:00,0.0,-0.0,1339.9,1339.9,0.0,1339.9,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.39,0.42
2020-08-12 22:00:00,0.0,-0.0,1350.7,1350.7,0.0,1350.7,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.39,0.42
2020-08-12 23:00:00,0.0,-0.0,1272.9,1272.9,0.0,1272.9,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.39,0.42
