date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
6/25/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,3969.45,-2034.35,3238.5,3738.5,-37425.93841,-28761.05287,-26852.05078,8664.88554,259946.5662,1909.002087,57270.06261,-158778,-129540,-149540,29238,-20000,0.018569213,0,0,1807.9,3238.5,1935.1,1124,1744.7,10768.6,0.954501043,1,1
8/10/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,4523.16,-1331.96,3191.2,3691.2,-31142.8849,-26034.92899,-24125.9269,5107.955912,153238.6774,1909.002087,57270.06261,-180926.4,-127648,-147648,53278.4,-20000,0.018569213,0,0,1197.5,2168,1479.3,1479.3,1406.9,6764.75,0.954501043,1,1
7/15/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,4852.22,-2246.82,3179.2,3679.2,-39629.12708,-29440.11073,-27531.10864,10189.01635,305670.4906,1909.002087,57270.06261,-194088.8,-127168,-147168,66920.8,-20000,0.018569213,0,0,1955,3179.2,1941.5,1941.5,1481.5,12792.53,0.954501043,1,1
12/18/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3464.51,-1242.8,3318.3,3476.7,-37201.52425,-34789.43277,-32880.43068,2412.091484,72362.74452,1909.002087,57270.06261,-138580.4,-132732,-139068,5848.4,-6336,0.067853031,0,0,2076.8,3042.2,2896.3,2123.6,1723.3,3236.99,0.954501043,1,1
3/9/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,3144,0,3144,3372,-32469.258,-32469.258,-30560.25591,0,0,1909.002087,57270.06261,-125760,-125760,-134880,0,-9120,0.058385007,0,0,2816,3144,2486,2010,1678,0,0.954501043,1,1
2/26/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2952,0,2952,3344,-30456.4134,-30456.4134,-28547.41131,0,0,1909.002087,57270.06261,-118080,-118080,-133760,0,-15680,0.035155707,0,0,1728,2844,2624,2374,1526,0,0.954501043,1,1
7/12/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,4154.39,-2555.9,2828.2,3328.2,-37409.4679,-23704.39294,-21795.39085,13705.07496,411152.2488,1909.002087,57270.06261,-166175.6,-113128,-133128,53047.6,-20000,0.018569213,0,0,1077.8,2828.2,1544.4,1135.8,1214.9,17714.17,0.954501043,1,1
8/14/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,4358.88,-1965.38,2869.6,3322.6,-39131.96196,-30589.15243,-28680.15034,8542.809534,256284.286,1909.002087,57270.06261,-174355.2,-114784,-132904,59571.2,-18120,0.025982893,0,0,1924.4,2869.6,1726.4,705.1,2191.3,11616.56,0.954501043,1,1
12/14/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3703.58,-1208.03,3198.7,3316.9,-36138.21624,-31347.72269,-29438.7206,4790.493546,143714.8064,1909.002087,57270.06261,-148143.2,-127948,-132676,20195.2,-4728,0.073231221,0,0,1381.7,3058.7,1740.3,1226.7,1974.4,6072.25,0.954501043,1,1
3/8/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2802,0,2802,3302,-29726.3889,-29726.3889,-27817.38681,0,0,1909.002087,57270.06261,-112080,-112080,-132080,0,-20000,0.018569213,0,0,2170,2802,2276,1032,1812,0,0.954501043,1,1
4/21/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2800,0,2800,3300,-27032.096,-27032.096,-25123.09391,0,0,1909.002087,57270.06261,-112000,-112000,-132000,0,-20000,0.018569213,0,0,2800,1676,1862,880,1634,0,0.954501043,1,1
5/15/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2776.21,-2343.36,2750,3250,-28941.0996,-18723.68949,-16820.27345,10217.41012,306522.3035,1903.416037,57102.48112,-111048.4,-110000,-130000,1048.4,-20000,0.017987202,0,0,2082.6,2750,333.3,333.3,1438.1,12063.34,0.951708019,0,0
5/12/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,4165.9,-508.33,3706.2,3206.2,-30133.36466,-27494.35684,-25585.35475,2639.007816,79170.23448,1909.002087,57270.06261,-166636,-148248,-128248,18388,20000,0.150046768,0,0,1346.1,2213.4,2352,2176.8,1601.2,3707.02,0.954501043,1,1
4/25/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2702,0,2702,3202,-27184.97,-27184.97,-25275.96791,0,0,1909.002087,57270.06261,-108080,-108080,-128080,0,-20000,0.018569213,0,0,1928,2702,2216,1236,1472,0,0.954501043,1,0
7/16/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,4395.85,-1250.94,3289.6,3191.5,-35782.09906,-29696.93764,-27787.93555,6085.161416,182554.8425,1909.002087,57270.06261,-175834,-131584,-127660,44250,3924,0.101210381,0,0,1334.4,2922.7,3224.3,2029.3,1206.7,8006.57,0.954501043,1,1
7/14/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3173.045,-1953.67,2677.995,3177.995,-28860.94371,-23675.21921,-21766.21712,5185.724503,155571.7351,1909.002087,57270.06261,-126921.8,-107119.8,-127119.8,19802,-20000,0.018569213,0,0,1454,2677.995,1331.996,1331.996,1477.997,7012.39,0.954501043,1,1
2/25/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2692,0,2692,3162,-30887.1476,-30887.1476,-28978.14551,0,0,1909.002087,57270.06261,-107680,-107680,-126480,0,-18800,0.023344684,0,0,1454,2692,2316,2316,1778,0,0.954501043,1,1
3/12/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2692,0,2692,3066,-31847.8182,-31847.8182,-29938.81611,0,0,1909.002087,57270.06261,-107680,-107680,-122640,0,-14960,0.037776815,0,0,1728,2628,2434,2180,1664,0,0.954501043,1,1
3/11/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2740,0,2740,3052,-31729.4628,-31729.4628,-29820.46071,0,0,1909.002087,57270.06261,-109600,-109600,-122080,0,-12480,0.046663218,0,0,2418,2552,2172,2172,1656,0,0.954501043,1,1
8/12/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3668.94,-1919.85,2550.5,3050.5,-31770.22383,-22284.61954,-20375.61745,9485.604294,284568.1288,1909.002087,57270.06261,-146757.6,-102020,-122020,44737.6,-20000,0.018569213,0,0,1507.9,2381,1127.4,624.3,1339.9,11747.9,0.954501043,1,1
12/16/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3219.81,-1699.17,2847.4,3021.313043,-36031.7685,-28151.95579,-26242.9537,7879.812708,236394.3812,1909.002087,57270.06261,-128792.4,-113896,-120852.5217,14896.4,-6956.521739,0.065760431,0,0,2607.2,2847.4,1482.3,935,1869.7,9999.31,0.954501043,1,1
4/22/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,2638,0,2638,3010,-30681.195,-30681.195,-28772.19291,0,0,1909.002087,57270.06261,-105520,-105520,-120400,0,-14880,0.038066863,0,0,2212,2510,2110,1806,2014,0,0.954501043,1,1
12/17/20,TRUE,TRUE,0.39,340,2000,500,2cd,1,3597.4,-1682.12,2689.1,2745.713043,-34758.89605,-26834.26279,-24925.2607,7924.633256,237738.9977,1909.002087,57270.06261,-143896,-107564,-109828.5217,36332,-2264.521739,0.081353674,0,0,1805.4,2689.1,1335.1,1235.8,1586.8,9998.99,0.954501043,1,1
6/26/21,TRUE,TRUE,0.39,340,2000,500,2cd,1,3893.47,-1573.17,2745.8,2737.5,-33259.78189,-26922.33776,-25013.33567,6337.444126,190123.3238,1909.002087,57270.06261,-155738.8,-109832,-109500,45906.8,332,0.089774322,0,0,2037.2,2745.8,2314.4,1030.3,1636,7896.39,0.954501043,1,0
