,date,simulate_pv,solar_to_battery,solar_to_battery_purchase_price,pv_size_kW,storage_size_kWh,storage_power_kW,control_mode,weather_normalization,peak_load,peak_pv,peak_net_load_after_pv,peak_net_load_after_storage,original_energy_bill,post_pv_energy_bill,post_pv&storage_energy_bill,pv_energy_saving,pv_energy_saving_monthly,storage_energy_saving,storage_energy_saving_monthly,original_demand_bill,post_pv_demand_bill,post_pv&storage_demand_bill,pv_demand_saving,storage_demand_saving,IRR,pv_export_revenue,pv_import_charge,0_8_max_net_load_after_pv,12_17_max_net_load_after_pv,8_10_min_net_load_after_pv,8_12_min_net_load_after_pv,17_21_min_net_load_after_pv,total_pv_production_kWh,storage_per_kWh_revenue,2cd_complete,weekday
0,2020-08-01,False,False,0.35,340,500,125,2cd,1,63.63846154,-0.0,63.63846154,187.28461538,-716.0088180227517,-716.0088180227517,-603.3326987842621,0.0,0.0,112.6761192384896,3380.283577154688,-2545.5384616,-2545.5384616,-7491.3846152,0.0,-4945.8461535999995,,0.0,-0.0,57.54615385,63.63846154,41.17692308,41.17692308,40.16153846,0.0,0.22535223847697922,0,0
1,2020-08-02,False,False,0.35,340,500,125,2cd,1,58.14615385,-0.0,58.14615385,181.37692307999998,-721.1255722855917,-721.1255722855917,-597.9364950972047,0.0,0.0,123.18907718838705,3695.6723156516114,-2325.846154,-2325.846154,-7255.076923199999,0.0,-4929.2307691999995,,0.0,-0.0,55.6,57.58461538,42.95384615,41.48571429,39.49230769,0.0,0.2463781543767741,0,0
2,2020-08-03,False,False,0.35,340,500,125,2cd,1,446.5615385,-0.0,446.5615385,471.1923077,-3340.2469004607274,-3340.2469004607274,-2858.81203089551,0.0,0.0,481.43486956521747,14443.046086956525,-17862.46154,-17862.46154,-18847.692308,0.0,-985.2307680000013,0.09387421126440931,0.0,-0.0,123.0769231,324.8307692,283.3769231,265.2153846,77.8,0.0,0.9628697391304349,1,1
3,2020-08-04,False,False,0.35,340,500,125,2cd,1,370.9923077,-0.0,370.9923077,478.3153846,-3267.352362683464,-3267.352362683464,-2785.9174931182465,0.0,0.0,481.43486956521747,14443.046086956525,-14839.692308000002,-14839.692308000002,-19132.615384,0.0,-4292.923075999999,0.04449853469800846,0.0,-0.0,135.5,353.3153846,268.7384615,205.1714286,64.17692308,0.0,0.9628697391304349,1,1
4,2020-08-05,False,False,0.35,340,500,125,2cd,1,431.0076923,-0.0,431.0076923,508.0153846,-3443.30161255114,-3443.30161255114,-2975.8357615018376,0.0,0.0,467.4658510493023,14023.975531479067,-17240.307692,-17240.307692,-20320.615384,0.0,-3080.307692000002,0.05775170252552897,0.0,-0.0,77.16153846,383.0153846,339.2,276.0923077,70.46923077,0.0,0.9349317020986045,0,1
5,2020-08-06,False,False,0.35,340,500,125,2cd,1,403.2692308,-0.0,403.2692308,513.5615385,-3255.08876089085,-3255.08876089085,-2791.446183192277,0.0,0.0,463.64257769857295,13909.27733095719,-16130.769232,-16130.769232,-20542.46154,0.0,-4411.692308,0.03522782236009303,0.0,-0.0,138.5692308,388.5615385,288.8692308,218.8846154,65.45384615,0.0,0.927285155397146,0,1
6,2020-08-07,False,False,0.35,340,500,125,2cd,1,449.9615385,-0.0,449.9615385,529.5692308,-3484.8324330050673,-3484.8324330050673,-3003.3975634398494,0.0,0.0,481.4348695652179,14443.046086956538,-17998.46154,-17998.46154,-21182.769232,0.0,-3184.3076919999985,0.0616651472848484,0.0,-0.0,146.6769231,404.5692308,330.1846154,278.7692308,66.29230769,0.0,0.9628697391304358,1,1
7,2020-08-08,False,False,0.35,340,500,125,2cd,1,193.5538462,-0.0,193.5538462,318.5538462,-1489.577830214701,-1489.577830214701,-1232.9093161317787,0.0,0.0,256.66851408292223,7700.055422487667,-7742.153848,-7742.153848,-12742.153848,0.0,-5000.0,-0.13191481607373012,0.0,-0.0,145.9923077,193.5538462,126.5846154,112.0230769,36.66923077,0.0,0.5133370281658445,0,0
8,2020-08-09,False,False,0.35,340,500,125,2cd,1,158.8714286,-0.0,158.8714286,283.8714286,-1486.354720644797,-1486.354720644797,-1101.0178030995435,0.0,0.0,385.3369175452535,11560.107526357606,-6354.857144,-6354.857144,-11354.857144,0.0,-5000.0,-0.0149751809347074,0.0,-0.0,50.56923077,158.8714286,115.6846154,115.6846154,36.62857143,0.0,0.770673835090507,0,0
9,2020-08-10,False,False,0.35,340,500,125,2cd,1,416.2,-0.0,416.2,541.2,-3528.3043588793143,-3528.3043588793143,-3073.2186649068035,0.0,0.0,455.08569397251085,13652.570819175326,-16648.0,-16648.0,-21648.0,0.0,-5000.0,0.02154392150674611,0.0,-0.0,141.0307692,416.2,312.8615385,201.5307692,53.93846154,0.0,0.9101713879450217,0,1
10,2020-08-11,False,False,0.35,340,500,125,2cd,1,398.2307692,-0.0,398.2307692,457.3769231,-3205.1936430526684,-3205.1936430526684,-2735.422868260661,0.0,0.0,469.7707747920076,14093.123243760228,-15929.230768,-15929.230768,-18295.076924,0.0,-2365.8461560000014,0.0694382495916186,0.0,-0.0,90.55384615,332.3769231,300.6846154,205.6,54.92307692,0.0,0.9395415495840153,0,1
11,2020-08-12,False,False,0.35,340,500,125,2cd,1,408.5384615,-0.0,408.5384615,455.2142857,-3153.2130434820638,-3153.2130434820638,-2688.183190815189,0.0,0.0,465.02985266687483,13950.895580006245,-16341.53846,-16341.53846,-18208.571428,0.0,-1867.0329679999995,0.0750122389662391,0.0,-0.0,139.6153846,330.2142857,261.5769231,211.8769231,55.73076923,0.0,0.9300597053337497,0,1
12,2020-08-13,False,False,0.35,340,500,125,2cd,1,437.9230769,-0.0,437.9230769,551.2384615000001,-3449.496432635764,-3449.496432635764,-2976.475464898266,0.0,0.0,473.0209677374978,14190.629032124934,-17516.923076,-17516.923076,-22049.538460000003,0.0,-4532.615384000004,0.0371926743707236,0.0,-0.0,170.4692308,426.2384615,324.1230769,261.9384615,61.54615385,0.0,0.9460419354749956,0,1
13,2020-08-14,False,False,0.35,340,500,125,2cd,1,395.8153846,-0.0,395.8153846,485.0071429,-3158.413327115833,-3158.413327115833,-2719.6210786760803,0.0,0.0,438.7922484397527,13163.76745319258,-15832.615384,-15832.615384,-19400.285716000002,0.0,-3567.6703320000015,0.03849339073702929,0.0,-0.0,162.5142857,360.0071429,290.1,234.4846154,48.16153846,0.0,0.8775844968795055,0,1
14,2020-08-15,False,False,0.35,340,500,125,2cd,1,66.85384615,-0.0,66.85384615,187.63076923,-769.5370667938039,-769.5370667938039,-636.3433916324358,0.0,0.0,133.1936751613681,3995.8102548410434,-2674.1538459999997,-2674.1538459999997,-7505.2307691999995,0.0,-4831.0769232,,0.0,-0.0,57.13846154,66.85384615,43.24615385,43.24615385,42.92307692,0.0,0.2663873503227362,0,0
15,2020-08-16,False,False,0.35,340,500,125,2cd,1,60.94615385,-0.0,60.94615385,178.81538462,-688.7773293367752,-688.7773293367752,-585.3157702372127,0.0,0.0,103.46155909956246,3103.846772986874,-2437.846154,-2437.846154,-7152.6153848,0.0,-4714.7692308000005,,0.0,-0.0,53.45714286,53.82307692,38.90769231,38.90769231,38.25384615,0.0,0.20692311819912493,0,0
16,2020-08-17,False,False,0.35,340,500,125,2cd,1,408.9,-0.0,408.9,533.9,-3437.2762011303025,-3437.2762011303025,-2955.841331565085,0.0,0.0,481.43486956521747,14443.046086956525,-16356.0,-16356.0,-21356.0,0.0,-5000.0,0.03311811780048246,0.0,-0.0,142.4076923,408.9,306.1071429,249.6,81.9,0.0,0.9628697391304349,1,1
17,2020-08-18,False,False,0.35,340,500,125,2cd,1,463.8538462,-0.0,463.8538462,535.6384615,-3632.7352313849415,-3632.7352313849415,-3151.3003618197245,0.0,0.0,481.434869565217,14443.04608695651,-18554.153848,-18554.153848,-21425.538459999996,0.0,-2871.3846119999944,0.06638497031093182,0.0,-0.0,161.0076923,405.3230769,348.3076923,299.8384615,73.2,0.0,0.962869739130434,1,1
18,2020-08-19,False,False,0.35,340,500,125,2cd,1,412.7076923,-0.0,412.7076923,477.2384615,-3414.1498021317575,-3414.1498021317575,-2944.8659301221774,0.0,0.0,469.28387200958014,14078.516160287403,-16508.307692000002,-16508.307692000002,-19089.53846,0.0,-2581.2307679999976,0.06602856953279423,0.0,-0.0,158.1076923,351.7076923,306.9230769,212.6076923,68.66923077,0.0,0.9385677440191603,0,1
19,2020-08-20,False,False,0.35,340,500,125,2cd,1,405.3714286,-0.0,405.3714286,490.4461538,-3327.8336239831556,-3327.8336239831556,-2846.3987544179386,0.0,0.0,481.434869565217,14443.04608695651,-16214.857144,-16214.857144,-19617.846152,0.0,-3402.9890079999986,0.058335771106058365,0.0,-0.0,173.5615385,365.4461538,316.2923077,243.0692308,67.72307692,0.0,0.962869739130434,1,1
20,2020-08-21,False,False,0.35,340,500,125,2cd,1,455.0307692,-0.0,455.0307692,527.4076923,-3429.1659984896232,-3429.1659984896232,-2970.8462985003353,0.0,0.0,458.319699989288,13749.59099967864,-18201.230768,-18201.230768,-21096.307692000002,0.0,-2895.076924000001,0.056969650261373905,0.0,-0.0,148.4,402.4076923,314.5307692,290.5461538,54.95384615,0.0,0.916639399978576,0,1
21,2020-08-22,False,False,0.35,340,500,125,2cd,1,63.84615385,-0.0,63.84615385,188.84615385,-671.8818826358579,-671.8818826358579,-576.3641049616475,0.0,0.0,95.51777767421038,2865.5333302263116,-2553.846154,-2553.846154,-7553.846154000001,0.0,-5000.000000000001,,0.0,-0.0,63.84615385,53.55384615,37.86153846,37.86153846,35.07692308,0.0,0.19103555534842076,0,0
22,2020-08-23,False,False,0.35,340,500,125,2cd,1,51.39230769,-0.0,51.39230769,175.79230769,-624.905494377906,-624.905494377906,-537.4318492594068,0.0,0.0,87.47364511849923,2624.209353554977,-2055.6923076000003,-2055.6923076000003,-7031.6923076,0.0,-4976.0,,0.0,-0.0,47.46153846,50.79230769,34.66153846,34.53076923,36.00769231,0.0,0.17494729023699848,0,0
23,2020-08-24,False,False,0.35,340,500,125,2cd,1,415.7923077,-0.0,415.7923077,536.1384615,-3469.0384985836863,-3469.0384985836863,-3008.6506777552067,0.0,0.0,460.38782082847956,13811.634624854387,-16631.692307999998,-16631.692307999998,-21445.538459999996,0.0,-4813.846151999998,0.02713415658779006,0.0,-0.0,120.6,411.1384615,300.1615385,225.6461538,56.9,0.0,0.9207756416569591,0,1
24,2020-08-25,False,False,0.35,340,500,125,2cd,1,423.0692308,-0.0,423.0692308,473.3615385,-3309.5904704756354,-3309.5904704756354,-2848.652609951864,0.0,0.0,460.9378605237712,13828.135815713136,-16922.769232,-16922.769232,-18934.46154,0.0,-2011.6923080000015,0.07131146705174918,0.0,-0.0,145.6769231,348.3615385,319.2,221.6285714,54.87692308,0.0,0.9218757210475423,0,1
25,2020-08-26,False,False,0.35,340,500,125,2cd,1,433.3615385,-0.0,433.3615385,490.9153846,-3334.1024824326637,-3334.1024824326637,-2877.0805634408553,0.0,0.0,457.02191899180843,13710.657569754254,-17334.46154,-17334.46154,-19636.615384,0.0,-2302.1538440000004,0.06546231499857358,0.0,-0.0,199.0153846,365.9153846,352.3923077,224.2307692,48.47692308,0.0,0.9140438379836169,0,1
26,2020-08-27,False,False,0.35,340,500,125,2cd,1,360.3153846,-0.0,360.3153846,485.3153846,-3075.531759688459,-3075.531759688459,-2609.4003115799396,0.0,0.0,466.1314481085192,13983.943443255575,-14412.615384,-14412.615384,-19412.615384,0.0,-5000.0,0.02648758771547599,0.0,-0.0,83.02307692,360.3153846,264.8846154,200.4230769,44.86153846,0.0,0.9322628962170384,0,1
